# type,stim,RT
none,6,0
none,6,0
none,2,0
none,4,0
cor,3,0.766
none,4,0
none,8,0
cor,3,0.599
none,1,0
none,6,0
cor,3,0.566
none,5,0
none,5,0
cor,3,0.515
none,8,0
none,1,0
cor,3,0.549
none,1,0
none,4,0
none,7,0
none,7,0
cor,3,0.467
none,1,0
cor,3,0.6
none,8,0
none,2,0
none,4,0
cor,3,0.516
none,1,0
none,4,0
none,1,0
none,7,0
none,7,0
none,7,0
none,8,0
cor,3,0.533
none,5,0
cor,3,0.649
none,4,0
none,7,0
none,4,0
cor,3,0.566
none,9,0
none,8,0
none,1,0
cor,3,0.548
none,9,0
none,1,0
cor,3,0.549
none,9,0
cor,3,0.682
none,7,0
none,8,0
cor,3,0.517
none,2,0
none,7,0
none,2,0
none,9,0
none,5,0
cor,3,0.617
none,4,0
none,8,0
none,6,0
none,1,0
none,1,0
none,4,0
none,1,0
none,1,0
none,8,0
cor,3,0.697
none,1,0
cor,3,0.583
none,6,0
none,8,0
cor,3,0.45
none,6,0
none,6,0
cor,3,0.615
none,5,0
none,5,0
cor,3,0.582
none,4,0
none,5,0
cor,3,0.7
none,8,0
none,4,0
none,6,0
cor,3,0.5
none,6,0
none,5,0
cor,3,0.483
none,6,0
none,6,0
none,4,0
none,5,0
none,2,0
none,1,0
cor,3,0.482
none,4,0
cor,3,0.666
none,6,0
none,1,0
none,8,0
none,4,0
cor,3,0.45
none,4,0
cor,3,0.632
none,7,0
none,6,0
cor,3,0.499
none,9,0
none,6,0
cor,3,0.549
none,9,0
none,1,0
none,7,0
none,8,0
none,7,0
cor,3,0.549
none,6,0
cor,3,0.566
none,1,0
none,2,0
none,8,0
none,1,0
cor,3,0.466
none,8,0
none,1,0
none,7,0
none,9,0
none,5,0
none,4,0
none,2,0
none,9,0
cor,3,0.451
none,7,0
none,7,0
none,5,0
cor,3,0.6
none,6,0
cor,3,0.716
none,7,0
none,5,0
cor,3,0.565
none,8,0
none,6,0
cor,3,0.566
none,1,0
none,4,0
none,1,0
cor,3,0.434
none,8,0
cor,3,0.583
none,2,0
none,4,0
none,8,0
none,8,0
cor,3,0.549
none,7,0
com,4,0.534
none,7,0
none,4,0
cor,3,0.634
none,7,0
none,7,0
none,1,0
cor,3,0.534
none,2,0
none,1,0
cor,3,0.566
none,8,0
none,8,0
none,8,0
cor,3,0.55
none,5,0
none,5,0
none,2,0
none,4,0
cor,3,0.599
none,7,0
none,1,0
cor,3,0.732
none,9,0
cor,3,0.848
none,5,0
none,5,0
none,2,0
none,5,0
cor,3,0.566
none,8,0
none,7,0
cor,3,0.549
none,7,0
none,5,0
none,7,0
cor,3,0.55
none,5,0
none,4,0
none,9,0
cor,3,0.65
none,2,0
cor,3,0.882
none,2,0
none,4,0
none,9,0
none,5,0
cor,3,0.498
none,8,0
none,9,0
cor,3,0.415
none,5,0
none,1,0
none,1,0
none,1,0
cor,3,0.682
none,5,0
none,8,0
none,9,0
none,4,0
none,6,0
cor,3,0.633
none,1,0
none,8,0
none,9,0
none,9,0
cor,3,0.533
none,1,0
none,9,0
cor,3,0.582
none,7,0
none,2,0
cor,3,0.616
none,9,0
none,8,0
cor,3,0.616
none,2,0
none,9,0
none,6,0
cor,3,0.729
none,1,0
cor,3,0.666
none,5,0
none,6,0
none,5,0
none,5,0
cor,3,0.666
none,6,0
none,8,0
none,5,0
none,8,0
cor,3,0.632
none,9,0
none,1,0
none,1,0
cor,3,0.733
none,7,0
none,9,0
none,5,0
cor,3,0.613
none,5,0
none,5,0
cor,3,0.632
none,5,0
none,8,0
none,7,0
cor,3,0.8
none,9,0
none,1,0
none,9,0
cor,3,0.582
none,2,0
none,1,0
cor,3,0.8
none,7,0
none,1,0
cor,3,0.833
none,6,0
none,7,0
none,1,0
none,1,0
cor,3,0.582
none,8,0
omi,3,0
delay,6,0.217
none,2,0
none,8,0
none,6,0
none,9,0
none,7,0
none,9,0
cor,3,0.584
none,4,0
cor,3,0.732
none,1,0
none,5,0
none,9,0
none,2,0
cor,3,0.599
none,9,0
none,2,0
cor,3,0.45
none,2,0
none,1,0
none,6,0
cor,3,0.532
none,4,0
cor,3,0.633
none,6,0
none,6,0
none,4,0
none,4,0
none,5,0
cor,3,0.434
none,4,0
none,6,0
cor,3,0.598
none,8,0
none,2,0
none,2,0
none,5,0
cor,3,0.467
none,5,0
none,4,0
cor,3,0.616
none,9,0
cor,3,0.715
none,1,0
cor,3,0.733
none,6,0
cor,3,0.715
none,5,0
none,7,0
none,6,0
none,8,0
none,1,0
none,4,0
cor,3,0.482
none,1,0
none,9,0
