# type,stim,RT
none,8,0
cor,3,0.617
none,9,0
none,5,0
cor,3,0.733
none,9,0
none,6,0
none,2,0
cor,3,0.549
none,4,0
none,4,0
none,4,0
none,1,0
cor,3,0.5
none,5,0
cor,3,0.466
none,9,0
none,2,0
cor,3,0.7
none,1,0
none,1,0
cor,3,0.517
none,9,0
none,5,0
none,9,0
none,5,0
cor,3,0.616
none,2,0
none,6,0
none,1,0
none,5,0
none,4,0
none,8,0
none,4,0
cor,3,0.585
none,8,0
none,4,0
none,9,0
none,1,0
none,1,0
none,9,0
cor,3,0.55
none,6,0
none,4,0
none,2,0
cor,3,0.617
none,6,0
cor,3,0.683
none,4,0
omi,3,0
delay,5,0.515
none,9,0
cor,3,0.55
none,5,0
none,4,0
none,6,0
omi,3,0
none,5,0
none,1,0
cor,3,0.701
none,9,0
none,9,0
none,6,0
cor,3,0.818
none,4,0
none,8,0
none,5,0
none,2,0
none,1,0
cor,3,0.55
none,1,0
cor,3,0.684
none,6,0
none,8,0
cor,3,0.75
none,8,0
none,2,0
none,4,0
none,4,0
none,9,0
none,9,0
none,2,0
cor,3,0.567
none,4,0
none,7,0
cor,3,0.633
none,6,0
cor,3,0.55
none,4,0
none,2,0
cor,3,0.734
none,5,0
none,2,0
none,2,0
none,2,0
cor,3,0.431
none,8,0
none,8,0
cor,3,0.65
none,6,0
none,2,0
none,4,0
cor,3,0.567
none,9,0
cor,3,0.684
none,6,0
none,5,0
none,8,0
cor,3,0.586
none,8,0
none,4,0
omi,3,0
delay,1,0.216
none,8,0
cor,3,0.534
none,5,0
none,9,0
none,4,0
cor,3,0.533
none,5,0
none,6,0
none,5,0
none,2,0
none,2,0
none,1,0
none,4,0
none,1,0
cor,3,0.568
none,6,0
none,6,0
cor,3,0.667
none,5,0
none,1,0
cor,3,0.599
none,1,0
cor,3,0.568
none,1,0
none,5,0
cor,3,0.717
none,8,0
none,9,0
none,1,0
cor,3,0.852
none,7,0
none,9,0
cor,3,0.617
none,1,0
none,9,0
none,5,0
none,1,0
none,5,0
cor,3,0.551
none,5,0
none,2,0
none,6,0
none,9,0
none,5,0
none,6,0
cor,3,0.533
none,1,0
omi,3,0
delay,1,0.316
none,9,0
none,8,0
cor,3,0.667
none,7,0
none,5,0
none,1,0
cor,3,0.485
none,4,0
none,6,0
cor,3,0.6
none,9,0
none,6,0
cor,3,0.516
none,5,0
none,8,0
none,9,0
com,6,0.468
cor,3,0.899
none,5,0
none,5,0
cor,3,0.55
none,8,0
none,8,0
none,5,0
none,9,0
cor,3,0.55
none,1,0
none,2,0
none,6,0
none,1,0
none,2,0
none,6,0
cor,3,0.633
none,5,0
none,2,0
cor,3,0.717
none,6,0
cor,3,0.567
none,4,0
none,5,0
none,9,0
cor,3,0.634
none,9,0
none,8,0
none,4,0
omi,3,0
delay,8,0.134
none,5,0
none,5,0
cor,3,0.65
none,6,0
cor,3,0.534
none,9,0
none,2,0
none,5,0
none,1,0
none,9,0
none,9,0
none,7,0
omi,3,0
none,4,0
none,8,0
none,6,0
cor,3,0.667
none,2,0
none,9,0
cor,3,0.45
none,2,0
none,2,0
none,2,0
none,6,0
cor,3,0.566
none,6,0
none,8,0
cor,3,0.814
none,7,0
cor,3,0.917
none,9,0
none,6,0
cor,3,0.583
none,9,0
none,4,0
cor,3,0.701
none,4,0
none,4,0
none,2,0
none,5,0
none,9,0
cor,3,0.834
none,8,0
none,7,0
none,5,0
cor,3,0.484
none,9,0
none,6,0
cor,3,0.651
none,1,0
none,7,0
cor,3,0.633
none,8,0
none,9,0
cor,3,0.468
none,8,0
cor,3,0.617
none,4,0
none,6,0
none,1,0
none,2,0
omi,3,0
none,1,0
none,5,0
cor,3,0.632
none,8,0
none,2,0
none,2,0
none,2,0
none,2,0
none,7,0
cor,3,0.734
none,6,0
none,1,0
cor,3,0.868
none,9,0
none,5,0
none,2,0
cor,3,0.784
none,6,0
none,5,0
none,5,0
none,9,0
none,2,0
cor,3,0.802
none,1,0
none,7,0
cor,3,0.684
none,4,0
cor,3,0.717
none,6,0
none,2,0
none,8,0
none,4,0
cor,3,0.667
none,5,0
none,1,0
none,6,0
omi,3,0
none,1,0
none,6,0
none,9,0
none,2,0
none,5,0
cor,3,0.468
none,5,0
cor,3,0.55
none,4,0
none,8,0
cor,3,0.583
none,6,0
none,6,0
none,6,0
cor,3,0.583
none,9,0
none,4,0
none,7,0
cor,3,0.717
none,2,0
none,8,0
cor,3,0.652
none,5,0
none,5,0
com,2,0.717
none,9,0
cor,3,0.717
none,4,0
none,7,0
none,7,0
cor,3,0.733
none,5,0
none,8,0
none,1,0
cor,3,0.585
none,4,0
none,1,0
none,6,0
none,5,0
none,5,0
cor,3,0.683
none,1,0
none,9,0
cor,3,0.617
none,9,0
none,2,0
none,1,0
none,1,0
none,2,0
cor,3,0.633
none,7,0
none,1,0
cor,3,0.584
none,1,0
none,8,0
cor,3,0.8
none,9,0
omi,3,0
none,4,0
none,9,0
none,8,0
cor,3,0.55
none,2,0
none,4,0
none,7,0
cor,3,0.833
none,7,0
none,8,0
cor,3,0.65
none,5,0
cor,3,0.6
none,4,0
none,5,0
cor,3,0.618
none,1,0
none,2,0
cor,3,0.701
none,6,0
cor,3,0.684
none,7,0
cor,3,0.517
none,9,0
none,2,0
none,8,0
