# type,stim,RT
none,6,0
omi,3,0
none,7,0
none,8,0
cor,3,0.583
none,1,0
cor,3,0.7
none,6,0
none,9,0
none,1,0
none,4,0
com,6,0.5
none,9,0
none,4,0
cor,3,0.683
none,8,0
none,9,0
cor,3,0.65
none,9,0
none,8,0
cor,3,0.668
none,1,0
cor,3,0.684
none,7,0
none,4,0
none,9,0
none,1,0
cor,3,0.5
none,7,0
none,4,0
none,6,0
none,5,0
none,1,0
none,8,0
none,5,0
none,1,0
cor,3,0.55
none,5,0
cor,3,0.6
none,2,0
none,7,0
cor,3,0.583
none,8,0
none,1,0
cor,3,0.733
none,8,0
none,2,0
none,8,0
cor,3,0.583
none,1,0
none,2,0
cor,3,0.584
none,7,0
cor,3,0.7
none,5,0
none,1,0
none,8,0
none,5,0
cor,3,0.484
none,7,0
none,6,0
none,7,0
none,9,0
none,8,0
none,1,0
none,5,0
none,6,0
cor,3,0.667
none,9,0
none,8,0
none,4,0
cor,3,0.533
none,4,0
cor,3,0.633
none,7,0
cor,3,0.534
none,2,0
none,4,0
none,1,0
none,9,0
cor,3,0.567
none,5,0
none,7,0
none,4,0
cor,3,0.517
none,4,0
cor,3,0.734
none,4,0
none,5,0
cor,3,0.467
none,1,0
none,9,0
none,9,0
none,4,0
cor,3,0.517
none,4,0
none,7,0
none,5,0
none,6,0
none,6,0
none,8,0
none,9,0
cor,3,0.534
none,6,0
cor,3,0.884
none,1,0
none,4,0
cor,3,0.467
none,2,0
none,4,0
none,8,0
none,6,0
cor,3,0.684
none,2,0
none,7,0
none,1,0
cor,3,0.417
none,7,0
cor,3,0.667
none,5,0
cor,3,0.65
none,6,0
none,5,0
none,8,0
none,4,0
cor,3,0.567
none,5,0
none,6,0
cor,3,0.5
none,8,0
none,1,0
none,7,0
none,7,0
none,5,0
none,8,0
cor,3,0.667
none,6,0
omi,3,0
delay,8,0.183
none,8,0
cor,3,0.767
none,7,0
none,8,0
omi,3,0
delay,1,0.334
none,2,0
cor,3,0.634
none,9,0
none,1,0
none,4,0
cor,3,0.75
none,2,0
none,8,0
none,8,0
none,2,0
none,4,0
none,9,0
cor,3,0.667
none,8,0
none,1,0
none,4,0
cor,3,0.667
none,5,0
none,2,0
none,7,0
none,6,0
cor,3,0.65
none,9,0
none,1,0
cor,3,0.867
none,4,0
none,4,0
none,9,0
none,6,0
none,1,0
cor,3,0.567
none,9,0
cor,3,0.65
none,5,0
none,9,0
cor,3,0.65
none,4,0
none,4,0
cor,3,0.8
none,9,0
none,5,0
none,5,0
none,4,0
cor,3,0.6
none,1,0
none,1,0
cor,3,0.75
none,4,0
none,2,0
none,2,0
none,2,0
cor,3,0.55
none,7,0
omi,3,0
delay,4,0.2
none,6,0
cor,3,0.801
none,6,0
none,9,0
none,5,0
none,1,0
cor,3,0.584
none,6,0
none,1,0
cor,3,0.684
none,6,0
none,7,0
cor,3,0.684
none,5,0
none,6,0
none,7,0
none,1,0
none,5,0
none,7,0
none,1,0
cor,3,0.734
none,1,0
none,6,0
none,1,0
none,8,0
omi,3,0
none,2,0
cor,3,0.767
none,4,0
none,6,0
none,7,0
cor,3,0.634
none,7,0
omi,3,0
none,5,0
none,8,0
none,6,0
cor,3,0.75
none,6,0
none,2,0
none,9,0
cor,3,0.55
none,6,0
none,9,0
none,4,0
cor,3,0.617
none,9,0
none,7,0
none,8,0
omi,3,0
none,6,0
none,4,0
cor,3,0.667
none,2,0
none,9,0
none,6,0
cor,3,0.433
none,6,0
none,9,0
none,5,0
cor,3,0.767
none,4,0
none,8,0
none,2,0
none,9,0
cor,3,0.618
none,1,0
none,5,0
omi,3,0
none,7,0
none,5,0
none,4,0
none,4,0
cor,3,0.617
none,5,0
cor,3,0.667
none,2,0
none,8,0
none,2,0
none,7,0
cor,3,0.6
none,6,0
none,7,0
none,6,0
cor,3,0.5
none,2,0
none,6,0
omi,3,0
none,2,0
cor,3,0.567
none,7,0
none,9,0
none,9,0
cor,3,0.55
none,1,0
com,6,0.467
none,5,0
cor,3,0.6
none,2,0
none,6,0
none,1,0
none,9,0
none,1,0
cor,3,0.567
none,1,0
cor,3,0.684
none,9,0
none,2,0
none,1,0
none,8,0
none,7,0
none,1,0
cor,3,0.684
none,9,0
none,2,0
none,8,0
cor,3,0.867
none,4,0
none,1,0
cor,3,0.85
none,5,0
cor,3,0.734
none,5,0
none,7,0
none,4,0
none,6,0
cor,3,0.484
none,9,0
omi,3,0
delay,2,0.533
none,2,0
cor,3,0.567
none,5,0
none,2,0
com,8,0.166
cor,3,0.517
none,8,0
none,1,0
none,1,0
none,9,0
none,6,0
none,1,0
none,9,0
cor,3,0.884
none,2,0
none,6,0
none,6,0
none,1,0
none,4,0
omi,3,0
none,1,0
cor,3,0.583
none,4,0
none,1,0
cor,3,0.467
none,1,0
none,8,0
none,4,0
none,1,0
cor,3,0.567
none,4,0
none,4,0
cor,3,0.633
none,5,0
none,2,0
none,2,0
none,2,0
omi,3,0
none,8,0
cor,3,0.583
none,4,0
none,2,0
none,6,0
cor,3,0.733
none,9,0
none,8,0
none,8,0
none,7,0
none,4,0
omi,3,0
delay,6,0.184
none,9,0
none,9,0
cor,3,0.767
none,7,0
omi,3,0
delay,5,0.483
none,2,0
none,4,0
none,7,0
cor,3,0.617
none,5,0
none,5,0
none,1,0
none,2,0
cor,3,0.55
none,2,0
none,9,0
omi,3,0
none,1,0
cor,3,0.617
none,1,0
none,6,0
none,9,0
cor,3,0.867
none,1,0
none,5,0
omi,3,0
none,8,0
none,2,0
none,2,0
none,9,0
none,2,0
cor,3,0.583
none,8,0
cor,3,0.784
none,6,0
none,9,0
omi,3,0
none,1,0
none,9,0
none,8,0
omi,3,0
delay,8,0.252
none,9,0
none,7,0
omi,3,0
none,1,0
none,7,0
cor,3,0.5
none,6,0
none,8,0
none,1,0
none,8,0
none,4,0
none,6,0
cor,3,0.567
none,7,0
none,8,0
none,4,0
omi,3,0
none,4,0
none,4,0
none,8,0
none,9,0
none,6,0
none,1,0
cor,3,0.634
none,8,0
none,4,0
cor,3,0.534
none,9,0
none,2,0
cor,3,0.667
none,7,0
none,7,0
cor,3,0.601
none,2,0
none,2,0
none,7,0
cor,3,0.484
none,9,0
cor,3,0.717
none,2,0
none,9,0
none,6,0
none,1,0
cor,3,0.601
none,6,0
none,9,0
none,4,0
cor,3,0.667
none,4,0
none,5,0
cor,3,0.667
none,2,0
none,6,0
cor,3,0.55
none,2,0
none,8,0
none,8,0
none,5,0
cor,3,0.567
none,4,0
cor,3,0.617
none,8,0
none,9,0
cor,3,0.65
none,7,0
cor,3,0.766
none,1,0
none,5,0
none,5,0
none,9,0
none,6,0
none,6,0
none,8,0
none,9,0
cor,3,0.667
none,8,0
none,8,0
none,9,0
cor,3,0.817
none,5,0
none,6,0
cor,3,0.767
none,5,0
none,4,0
cor,3,0.767
none,8,0
omi,3,0
none,1,0
none,7,0
cor,3,0.734
none,7,0
none,6,0
cor,3,0.633
none,6,0
none,8,0
none,2,0
none,1,0
none,6,0
none,7,0
none,5,0
cor,3,0.734
none,1,0
none,4,0
none,1,0
none,5,0
none,1,0
cor,3,0.6
none,1,0
none,1,0
none,1,0
cor,3,0.667
none,2,0
cor,3,0.618
none,9,0
none,9,0
cor,3,0.667
none,9,0
omi,3,0
none,8,0
none,8,0
none,9,0
cor,3,0.5
none,5,0
none,6,0
none,8,0
none,5,0
none,7,0
cor,3,0.567
none,2,0
none,8,0
cor,3,0.633
none,6,0
none,4,0
none,7,0
none,9,0
none,7,0
none,5,0
none,9,0
cor,3,0.55
none,8,0
none,8,0
none,6,0
none,7,0
none,7,0
cor,3,0.801
none,6,0
none,2,0
omi,3,0
none,6,0
cor,3,0.767
none,8,0
none,2,0
none,9,0
cor,3,0.584
none,5,0
none,2,0
cor,3,0.75
none,1,0
none,5,0
cor,3,0.733
none,8,0
none,5,0
cor,3,0.867
none,9,0
none,8,0
none,5,0
none,4,0
none,7,0
cor,3,0.7
none,7,0
none,7,0
omi,3,0
none,8,0
none,5,0
none,9,0
cor,3,0.5
none,1,0
none,7,0
cor,3,0.634
none,9,0
none,1,0
none,1,0
cor,3,0.516
none,8,0
none,8,0
cor,3,0.717
none,4,0
none,7,0
omi,3,0
none,1,0
none,6,0
none,9,0
none,7,0
