# type,stim,RT
none,8,0
none,9,0
none,9,0
cor,3,0.684
none,7,0
cor,3,0.667
none,6,0
none,1,0
none,6,0
cor,3,0.451
none,6,0
none,4,0
none,6,0
none,9,0
none,1,0
none,9,0
cor,3,0.517
none,5,0
none,1,0
cor,3,0.635
none,4,0
none,8,0
cor,3,0.617
none,8,0
none,2,0
cor,3,0.466
none,8,0
cor,3,0.6
none,7,0
none,2,0
none,1,0
none,4,0
cor,3,0.6
none,1,0
none,1,0
none,2,0
none,1,0
cor,3,0.601
none,2,0
none,9,0
none,5,0
cor,3,0.65
none,4,0
none,5,0
none,7,0
cor,3,0.567
none,5,0
none,5,0
none,4,0
cor,3,0.701
none,6,0
none,9,0
none,5,0
cor,3,0.5
none,6,0
cor,3,0.617
none,6,0
none,1,0
none,6,0
cor,3,0.5
none,5,0
none,6,0
none,2,0
cor,3,0.6
none,2,0
none,1,0
none,5,0
none,1,0
cor,3,0.468
none,4,0
none,7,0
none,4,0
none,8,0
cor,3,0.5
none,9,0
cor,3,0.5
none,7,0
none,8,0
cor,3,0.45
none,9,0
none,4,0
cor,3,0.55
none,1,0
cor,3,0.584
none,6,0
none,5,0
none,4,0
none,6,0
cor,3,0.482
none,5,0
none,9,0
none,2,0
none,2,0
none,1,0
none,4,0
none,1,0
none,5,0
cor,3,0.517
none,4,0
none,5,0
cor,3,0.551
none,6,0
none,2,0
cor,3,0.615
none,1,0
none,4,0
cor,3,0.484
none,5,0
cor,3,0.736
none,7,0
none,9,0
none,2,0
none,2,0
none,2,0
cor,3,0.451
none,5,0
none,1,0
cor,3,0.484
none,4,0
cor,3,0.601
none,9,0
none,5,0
none,4,0
none,5,0
none,8,0
cor,3,0.418
none,4,0
none,9,0
cor,3,0.667
none,5,0
none,4,0
none,4,0
cor,3,0.567
none,4,0
none,5,0
cor,3,0.6
none,9,0
none,2,0
omi,3,0
none,7,0
none,9,0
none,2,0
cor,3,0.584
none,6,0
none,7,0
cor,3,0.518
none,6,0
none,9,0
none,5,0
none,2,0
none,9,0
cor,3,0.42
none,8,0
none,9,0
none,5,0
none,2,0
none,9,0
none,6,0
cor,3,0.6
none,9,0
none,2,0
cor,3,0.517
none,7,0
cor,3,0.801
none,2,0
none,1,0
none,6,0
cor,3,0.448
none,8,0
none,8,0
none,8,0
cor,3,0.517
none,8,0
none,2,0
cor,3,0.484
none,9,0
none,7,0
none,6,0
cor,3,0.55
none,6,0
none,6,0
none,7,0
none,4,0
cor,3,0.531
none,1,0
