# type,stim,RT
none,9,0
none,5,0
cor,3,0.517
none,6,0
none,9,0
cor,3,0.467
none,1,0
cor,3,0.467
none,5,0
cor,3,0.45
none,5,0
none,8,0
none,7,0
none,1,0
cor,3,0.467
none,2,0
none,6,0
cor,3,0.517
none,1,0
cor,3,0.483
none,5,0
none,7,0
none,5,0
none,4,0
none,6,0
none,2,0
cor,3,0.55
none,9,0
none,2,0
none,6,0
none,2,0
none,2,0
cor,3,0.45
none,4,0
cor,3,0.667
none,2,0
none,4,0
none,2,0
none,1,0
cor,3,0.534
none,5,0
none,2,0
cor,3,0.45
none,7,0
none,4,0
none,4,0
cor,3,0.416
none,4,0
none,1,0
cor,3,0.55
none,6,0
none,9,0
none,6,0
cor,3,0.567
none,4,0
none,2,0
cor,3,0.667
none,7,0
none,6,0
none,4,0
none,9,0
none,9,0
none,2,0
cor,3,0.417
none,9,0
none,6,0
cor,3,0.65
none,7,0
none,7,0
cor,3,0.5
none,1,0
none,2,0
cor,3,0.433
none,9,0
none,1,0
cor,3,0.767
none,6,0
none,2,0
none,1,0
none,9,0
cor,3,0.4
none,6,0
none,9,0
cor,3,0.55
none,7,0
none,2,0
none,8,0
none,9,0
none,9,0
none,8,0
cor,3,0.534
none,1,0
none,4,0
none,9,0
none,5,0
none,4,0
none,5,0
none,9,0
none,2,0
cor,3,0.517
none,8,0
none,5,0
cor,3,0.716
none,6,0
cor,3,0.867
none,7,0
none,8,0
cor,3,0.517
none,1,0
none,2,0
cor,3,0.45
none,6,0
none,5,0
none,5,0
cor,3,0.517
none,6,0
none,5,0
none,6,0
none,8,0
cor,3,0.517
none,7,0
cor,3,0.583
none,2,0
none,7,0
none,9,0
cor,3,0.433
none,7,0
cor,3,0.583
none,7,0
none,6,0
cor,3,0.552
none,7,0
none,2,0
none,4,0
none,5,0
cor,3,0.567
none,1,0
none,5,0
cor,3,0.45
none,6,0
none,2,0
none,7,0
none,4,0
none,7,0
cor,3,0.4
none,2,0
none,9,0
cor,3,0.634
none,4,0
none,8,0
none,2,0
cor,3,0.416
none,9,0
none,7,0
none,9,0
none,4,0
cor,3,0.517
none,5,0
none,1,0
cor,3,0.534
none,7,0
none,4,0
none,4,0
none,7,0
none,8,0
cor,3,0.534
none,5,0
cor,3,0.551
none,2,0
none,1,0
none,6,0
cor,3,0.533
none,8,0
none,7,0
cor,3,0.683
none,6,0
none,8,0
none,5,0
none,7,0
cor,3,0.433
none,9,0
none,1,0
none,6,0
cor,3,0.433
none,8,0
none,8,0
none,6,0
cor,3,0.484
