# type,stim,RT
none,1,0
none,4,0
none,2,0
cor,3,0.534
none,5,0
none,6,0
none,4,0
cor,3,0.434
none,4,0
none,8,0
none,1,0
none,1,0
none,5,0
cor,3,0.45
none,7,0
cor,3,0.517
none,4,0
none,5,0
cor,3,0.433
none,1,0
none,2,0
none,1,0
cor,3,0.399
none,5,0
cor,3,0.567
none,1,0
com,5,0.483
cor,3,0.834
none,7,0
none,7,0
none,8,0
none,6,0
none,1,0
none,2,0
cor,3,0.617
none,1,0
none,4,0
none,5,0
cor,3,0.517
none,2,0
none,7,0
cor,3,0.484
none,2,0
none,2,0
none,9,0
none,2,0
cor,3,0.533
none,9,0
none,1,0
none,9,0
cor,3,0.617
none,8,0
none,1,0
none,6,0
cor,3,0.516
none,5,0
cor,3,0.567
none,5,0
none,8,0
cor,3,0.551
none,8,0
none,5,0
none,4,0
cor,3,0.5
none,6,0
none,5,0
cor,3,0.583
none,7,0
none,6,0
cor,3,0.466
none,8,0
none,6,0
none,1,0
cor,3,0.434
none,2,0
none,8,0
cor,3,0.517
none,8,0
none,9,0
none,5,0
cor,3,0.633
none,1,0
none,2,0
none,8,0
cor,3,0.433
none,4,0
none,1,0
none,9,0
none,9,0
cor,3,0.433
none,7,0
none,4,0
none,2,0
none,8,0
none,5,0
cor,3,0.433
none,7,0
none,1,0
none,1,0
none,9,0
cor,3,0.533
none,6,0
none,1,0
cor,3,0.583
none,7,0
none,4,0
cor,3,0.5
none,7,0
cor,3,0.734
none,4,0
none,4,0
cor,3,0.517
none,2,0
none,6,0
cor,3,0.484
none,4,0
none,7,0
cor,3,0.467
none,7,0
none,9,0
none,5,0
none,7,0
none,7,0
none,2,0
none,2,0
none,4,0
none,9,0
cor,3,0.584
none,7,0
none,4,0
com,9,0.517
cor,3,0.901
none,1,0
none,5,0
cor,3,0.65
none,5,0
none,9,0
cor,3,0.5
none,4,0
none,9,0
cor,3,0.483
none,7,0
cor,3,0.75
none,7,0
none,1,0
none,5,0
cor,3,0.517
none,9,0
none,6,0
cor,3,0.484
none,6,0
none,6,0
none,6,0
none,9,0
none,7,0
none,7,0
cor,3,0.7
none,5,0
none,4,0
none,5,0
none,4,0
cor,3,0.45
none,5,0
none,9,0
cor,3,0.833
none,7,0
none,1,0
cor,3,0.533
none,6,0
cor,3,0.6
none,2,0
none,4,0
cor,3,0.517
none,7,0
none,1,0
cor,3,0.517
none,8,0
none,1,0
none,6,0
none,1,0
cor,3,0.667
none,2,0
none,1,0
none,9,0
none,5,0
none,5,0
none,6,0
none,7,0
none,8,0
none,1,0
none,7,0
cor,3,0.633
none,7,0
none,2,0
cor,3,0.517
none,5,0
none,1,0
none,5,0
cor,3,0.483
none,9,0
cor,3,0.733
none,5,0
none,5,0
none,6,0
cor,3,0.55
none,2,0
none,6,0
cor,3,0.45
none,4,0
none,8,0
none,6,0
cor,3,0.55
none,8,0
cor,3,0.766
none,5,0
none,7,0
none,7,0
none,9,0
cor,3,0.467
none,7,0
none,9,0
none,1,0
cor,3,0.517
none,7,0
none,7,0
none,8,0
cor,3,0.5
none,4,0
none,8,0
cor,3,0.567
none,2,0
none,8,0
cor,3,0.417
none,6,0
cor,3,0.751
none,9,0
cor,3,0.483
none,6,0
none,9,0
none,6,0
none,9,0
none,7,0
none,6,0
none,5,0
cor,3,0.567
none,8,0
none,7,0
none,7,0
none,4,0
none,4,0
none,5,0
cor,3,0.65
none,9,0
none,5,0
none,8,0
cor,3,0.433
none,7,0
cor,3,0.6
none,8,0
none,5,0
cor,3,0.55
none,9,0
none,6,0
cor,3,0.45
none,4,0
none,1,0
none,2,0
none,4,0
cor,3,0.417
none,2,0
none,9,0
none,6,0
none,4,0
cor,3,0.433
none,1,0
cor,3,0.6
none,8,0
none,8,0
none,9,0
none,5,0
cor,3,0.534
none,9,0
cor,3,0.584
none,8,0
cor,3,0.467
none,2,0
none,5,0
none,2,0
none,7,0
cor,3,0.75
none,4,0
none,1,0
cor,3,0.45
none,1,0
none,9,0
com,4,0.517
none,4,0
cor,3,0.567
none,5,0
none,6,0
cor,3,0.685
none,4,0
none,6,0
none,5,0
none,9,0
none,2,0
none,2,0
cor,3,0.599
none,5,0
none,5,0
none,2,0
none,1,0
none,7,0
cor,3,0.684
none,4,0
none,8,0
cor,3,0.567
none,5,0
none,8,0
cor,3,0.684
none,6,0
none,9,0
cor,3,0.501
none,6,0
none,5,0
cor,3,0.534
none,2,0
none,8,0
cor,3,0.417
none,7,0
none,2,0
cor,3,0.45
none,4,0
none,5,0
none,8,0
cor,3,0.401
none,4,0
none,5,0
none,5,0
none,1,0
none,4,0
none,7,0
cor,3,0.45
none,4,0
none,9,0
none,9,0
cor,3,0.45
none,9,0
none,9,0
cor,3,0.5
none,4,0
none,7,0
none,6,0
none,2,0
none,8,0
none,1,0
none,2,0
cor,3,0.484
none,2,0
cor,3,0.767
none,9,0
none,2,0
none,4,0
omi,3,0
delay,6,0.417
none,5,0
cor,3,0.75
none,8,0
none,5,0
cor,3,0.484
none,2,0
none,8,0
none,7,0
none,9,0
none,4,0
cor,3,0.517
none,1,0
cor,3,0.534
none,9,0
none,8,0
cor,3,0.383
none,6,0
none,7,0
none,6,0
cor,3,0.417
none,2,0
none,4,0
none,2,0
cor,3,0.417
none,1,0
none,5,0
none,1,0
cor,3,0.4
none,7,0
none,2,0
cor,3,0.766
none,2,0
cor,3,0.517
none,9,0
none,4,0
none,5,0
none,2,0
none,7,0
none,6,0
cor,3,0.45
none,2,0
none,8,0
cor,3,0.45
none,7,0
none,8,0
none,7,0
cor,3,0.6
none,8,0
none,1,0
none,8,0
none,9,0
none,4,0
cor,3,0.5
none,9,0
none,4,0
none,6,0
cor,3,0.567
none,2,0
none,6,0
none,7,0
cor,3,0.401
none,6,0
cor,3,0.667
none,8,0
none,4,0
cor,3,0.451
none,4,0
none,6,0
none,2,0
none,5,0
none,8,0
cor,3,0.4
none,1,0
none,5,0
cor,3,0.667
none,8,0
cor,3,0.617
none,9,0
none,5,0
none,6,0
none,9,0
none,7,0
none,1,0
none,4,0
