20.2222 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1C60DAF0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
20.2223 	EXP 	window1: recordFrameIntervals = False
20.3881 	EXP 	window1: recordFrameIntervals = True
20.5709 	EXP 	window1: recordFrameIntervals = False
21.5736 	EXP 	Created instr = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=28, italic=False, name='instr', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=newstr(...), units='pix', win=Window(...), wrapWidth=900)
21.6181 	EXP 	Created stimuli = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='stimuli', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
21.7044 	EXP 	Created hint = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='hint', opacity=1.0, ori=0, pos=array([ 0. ,  0.7]), rgb=array([ 255.,  255.,  255.]), text='left => red    down => green   right = blue', units='norm', win=Window(...), wrapWidth=1)
21.7430 	EXP 	Created msgFeedback = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='msgFeedback', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
22.0897 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=28, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units='pix', win=Window(...), wrapWidth=900)
22.1158 	EXP 	Created stimuli = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='stimuli', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
22.1804 	EXP 	Created hint = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='hint', opacity=1.0, ori=0, pos=array([ 0. ,  0.7]), rgb=array([ 255.,  255.,  255.]), text='left => red    down => green   right = blue', units='norm', win=Window(...), wrapWidth=1)
22.2928 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=28, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units='pix', win=Window(...), wrapWidth=900)
22.3025 	EXP 	instr: autoDraw = True
133.0250 	DATA 	Keypress: left
136.4376 	DATA 	Keypress: space
136.7560 	EXP 	Imported pract_conditions.xlsx as conditions, 12 conditions, 4 params
136.7577 	EXP 	Created sequence: random, trialTypes=12, nReps=2, seed=None
136.7590 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
136.7894 	EXP 	instr: autoDraw = False
136.7894 	EXP 	stimuli: color = u'green (named)'
136.7894 	EXP 	stimuli: text = u'green'
136.7894 	EXP 	hint: autoDraw = True
137.2860 	EXP 	stimuli: autoDraw = True
139.1668 	DATA 	Keypress: down
139.2638 	EXP 	stimuli: autoDraw = False
139.2638 	EXP 	hint: autoDraw = False
139.2638 	EXP 	msgFeedback: text = 'Correct! RT=1.881'
139.2638 	EXP 	msgFeedback: autoDraw = True
140.6667 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
140.6918 	EXP 	msgFeedback: autoDraw = False
140.6918 	EXP 	msgFeedback: autoDraw = False
140.6918 	EXP 	stimuli: color = u'green (named)'
140.6918 	EXP 	stimuli: text = u'red'
140.6918 	EXP 	hint: autoDraw = True
141.1975 	EXP 	stimuli: autoDraw = True
143.0287 	DATA 	Keypress: down
143.0816 	EXP 	stimuli: autoDraw = False
143.0816 	EXP 	hint: autoDraw = False
143.0816 	EXP 	msgFeedback: text = 'Correct! RT=1.831'
143.0816 	EXP 	msgFeedback: autoDraw = True
144.5271 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
144.5431 	EXP 	msgFeedback: autoDraw = False
144.5431 	EXP 	msgFeedback: autoDraw = False
144.5431 	EXP 	stimuli: color = u'green (named)'
144.5431 	EXP 	stimuli: text = u'red'
144.5431 	EXP 	hint: autoDraw = True
145.0588 	EXP 	stimuli: autoDraw = True
145.7425 	DATA 	Keypress: down
145.8022 	EXP 	stimuli: autoDraw = False
145.8022 	EXP 	hint: autoDraw = False
145.8022 	EXP 	msgFeedback: text = 'Correct! RT=0.684'
145.8022 	EXP 	msgFeedback: autoDraw = True
147.2407 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
147.2562 	EXP 	msgFeedback: autoDraw = False
147.2562 	EXP 	msgFeedback: autoDraw = False
147.2562 	EXP 	stimuli: color = u'red (named)'
147.2562 	EXP 	stimuli: text = u'red'
147.2562 	EXP 	hint: autoDraw = True
147.7724 	EXP 	stimuli: autoDraw = True
148.6716 	DATA 	Keypress: left
148.7273 	EXP 	stimuli: autoDraw = False
148.7273 	EXP 	hint: autoDraw = False
148.7273 	EXP 	msgFeedback: text = 'Correct! RT=0.899'
148.7273 	EXP 	msgFeedback: autoDraw = True
150.1697 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
150.1932 	EXP 	msgFeedback: autoDraw = False
150.1932 	EXP 	msgFeedback: autoDraw = False
150.1932 	EXP 	stimuli: color = u'blue (named)'
150.1932 	EXP 	stimuli: text = u'blue'
150.1932 	EXP 	hint: autoDraw = True
150.7015 	EXP 	stimuli: autoDraw = True
151.5508 	DATA 	Keypress: right
151.5996 	EXP 	stimuli: autoDraw = False
151.5996 	EXP 	hint: autoDraw = False
151.5996 	EXP 	msgFeedback: text = 'Correct! RT=0.849'
151.5996 	EXP 	msgFeedback: autoDraw = True
153.0496 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
153.0653 	EXP 	msgFeedback: autoDraw = False
153.0653 	EXP 	msgFeedback: autoDraw = False
153.0653 	EXP 	stimuli: color = u'blue (named)'
153.0653 	EXP 	stimuli: text = u'blue'
153.0653 	EXP 	hint: autoDraw = True
153.5814 	EXP 	stimuli: autoDraw = True
154.2808 	DATA 	Keypress: right
154.3296 	EXP 	stimuli: autoDraw = False
154.3296 	EXP 	hint: autoDraw = False
154.3296 	EXP 	msgFeedback: text = 'Correct! RT=0.700'
154.3296 	EXP 	msgFeedback: autoDraw = True
155.7800 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', u'blue'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
155.7948 	EXP 	msgFeedback: autoDraw = False
155.7948 	EXP 	msgFeedback: autoDraw = False
155.7948 	EXP 	stimuli: color = u'green (named)'
155.7948 	EXP 	stimuli: text = u'blue'
155.7948 	EXP 	hint: autoDraw = True
156.3108 	EXP 	stimuli: autoDraw = True
157.2276 	DATA 	Keypress: down
157.2846 	EXP 	stimuli: autoDraw = False
157.2846 	EXP 	hint: autoDraw = False
157.2846 	EXP 	msgFeedback: text = 'Correct! RT=0.917'
157.2846 	EXP 	msgFeedback: autoDraw = True
158.7261 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
158.7517 	EXP 	msgFeedback: autoDraw = False
158.7517 	EXP 	msgFeedback: autoDraw = False
158.7517 	EXP 	stimuli: color = u'green (named)'
158.7517 	EXP 	stimuli: text = u'green'
158.7517 	EXP 	hint: autoDraw = True
159.2576 	EXP 	stimuli: autoDraw = True
159.8077 	DATA 	Keypress: down
159.8702 	EXP 	stimuli: autoDraw = False
159.8702 	EXP 	hint: autoDraw = False
