# type,stim,RT
none,2,0
none,6,0
none,9,0
none,2,0
none,5,0
none,9,0
cor,3,0.75
none,7,0
none,9,0
none,4,0
cor,3,0.584
none,8,0
none,8,0
cor,3,0.534
none,9,0
none,6,0
none,4,0
none,6,0
cor,3,0.518
none,5,0
cor,3,0.75
none,8,0
none,2,0
cor,3,0.601
none,8,0
none,9,0
cor,3,0.633
none,1,0
cor,3,0.735
none,8,0
none,8,0
none,8,0
cor,3,0.434
none,7,0
none,4,0
none,4,0
cor,3,0.533
none,6,0
cor,3,0.667
none,4,0
none,2,0
none,6,0
cor,3,0.652
none,7,0
none,7,0
none,4,0
none,5,0
cor,3,0.534
none,5,0
none,1,0
none,7,0
cor,3,0.584
none,1,0
none,5,0
none,1,0
none,6,0
cor,3,0.6
none,2,0
none,9,0
cor,3,0.716
none,2,0
none,7,0
none,5,0
none,1,0
none,4,0
cor,3,0.584
none,6,0
cor,3,0.784
none,5,0
none,1,0
none,8,0
cor,3,0.535
none,9,0
none,2,0
cor,3,0.734
none,5,0
none,5,0
none,4,0
cor,3,0.635
none,2,0
none,7,0
none,4,0
cor,3,0.783
none,6,0
cor,3,0.851
none,2,0
none,2,0
none,6,0
none,9,0
cor,3,0.617
none,5,0
none,7,0
none,2,0
none,4,0
none,1,0
cor,3,0.634
none,7,0
none,7,0
none,9,0
none,1,0
none,6,0
none,1,0
cor,3,0.699
none,5,0
cor,3,0.852
none,4,0
none,2,0
cor,3,0.85
none,8,0
cor,3,0.65
none,2,0
none,7,0
cor,3,0.717
none,5,0
cor,3,0.55
none,8,0
none,4,0
none,4,0
none,7,0
none,1,0
cor,3,0.665
none,1,0
none,6,0
none,8,0
none,8,0
none,1,0
none,1,0
none,7,0
cor,3,0.701
none,7,0
none,7,0
none,9,0
cor,3,0.734
none,8,0
none,2,0
none,8,0
none,4,0
none,2,0
none,6,0
none,6,0
cor,3,0.667
none,9,0
none,7,0
cor,3,0.701
none,8,0
cor,3,0.801
none,8,0
cor,3,0.784
none,5,0
cor,3,0.633
none,2,0
none,8,0
cor,3,0.566
none,6,0
none,8,0
none,8,0
none,2,0
cor,3,0.815
none,8,0
none,6,0
none,6,0
