word,color,congruent,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp_time.keys,resp_time.corr,resp_time.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,Session,Participant,
green,green,1,down,0,0,0,3,,,,,down,1,7.56097682665,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,0,1,1,0,,,,,left,1,3.61882423512,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,red,0,left,0,2,2,11,,,,,left,1,3.76951043201,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,0,3,3,4,,,,,right,1,3.21806170227,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,0,4,4,1,,,,,left,1,1.3845282751,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,blue,0,right,0,5,5,9,,,,,right,1,2.20175046707,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,green,0,down,0,6,6,6,,,,,down,1,2.25100918854,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,green,0,down,0,7,7,7,,,,,down,1,0.995271304149,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,green,0,down,0,8,8,10,,,,,down,1,2.0998112342,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,0,9,9,2,,,,,down,1,1.18498905637,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,red,0,left,0,10,10,8,,,,,left,1,1.58511894868,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,0,11,11,5,,,,,right,1,1.60102847567,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,1,0,12,1,,,,,left,1,2.89334604126,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,1,1,13,0,,,,,left,1,0.834564924913,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,1,2,14,3,,,,,down,1,1.41872650228,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,1,3,15,5,,,,,right,1,1.44956879802,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,red,0,left,1,4,16,8,,,,,left,1,0.9035729223,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,blue,0,right,1,5,17,9,,,,,right,1,1.01809426087,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,1,6,18,2,,,,,down,1,1.06194289357,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,green,0,down,1,7,19,6,,,,,down,1,0.91651226037,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,1,8,20,4,,,,,right,1,0.751075759774,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,green,0,down,1,9,21,10,,,,,down,1,1.40151748201,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,green,0,down,1,10,22,7,,,,,down,1,1.00408123002,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,red,0,left,1,11,23,11,,,,,left,1,0.866202369138,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,,,,,0,0,0,3,left,1,1.64343107283,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,,,,,0,1,1,31,right,1,0.952046473847,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,,,,,0,2,2,8,left,1,0.651967871325,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,,,,,0,3,3,14,down,1,1.01728086589,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,,,,,0,4,4,32,right,1,1.5286046755,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,,,,,0,5,5,23,down,1,0.734337442314,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,,,,,0,6,6,20,down,1,0.751112252785,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,,,,,0,7,7,12,down,1,0.584876612287,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,green,0,down,,,,,0,8,8,42,down,1,0.602104734371,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,,,,,0,9,9,35,right,1,1.21841551341,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,green,0,down,,,,,0,10,10,38,down,1,0.983130535784,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,,,,,0,11,11,34,right,1,1.08286165642,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,,,,,0,12,12,17,down,1,0.850672882643,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,,,,,0,13,13,4,left,1,0.68444893131,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,,,,,0,14,14,30,right,1,1.13380561371,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,,,,,0,15,15,27,right,1,0.728670191853,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,,,,,0,16,16,28,right,1,0.617434079511,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,,,,,0,17,17,21,down,1,1.03455602974,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,,,,,0,18,18,6,left,1,0.901436085487,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,,,,,0,19,19,19,down,1,0.851183214583,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,,,,,0,20,20,0,left,1,0.784873704248,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,,,,,0,21,21,1,left,1,0.750721378432,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,,,,,0,22,22,5,left,1,0.633944315659,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,blue,0,right,,,,,0,23,23,41,right,1,1.48300580382,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,,,,,0,24,24,15,down,1,1.15140493813,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,,,,,0,25,25,10,left,1,1.03462844556,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,green,1,down,,,,,0,26,26,16,down,1,1.63112922203,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,,,,,0,27,27,26,right,1,0.663283270434,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,green,0,down,,,,,0,28,28,36,down,1,1.06274516959,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,red,0,left,,,,,0,29,29,44,left,1,0.934170315732,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
blue,blue,1,right,,,,,0,30,30,24,right,1,0.667088807166,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
red,red,1,left,,,,,0,31,31,2,left,1,0.651728100844,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
green,blue,0,right,,,,,0,32,32,40,right,1,1.63497039647,,,2018_Jul_20_1403,60.050316985,Stroop,pre,1002,
