word,color,congruent,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp_time.keys,resp_time.corr,resp_time.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,Session,Participant,
blue,red,0,left,0,0,0,11,,,,,left,1,9.25608111537,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
green,blue,0,right,0,1,1,9,,,,,right,1,4.21624075053,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
green,green,1,down,0,2,2,2,,,,,down,1,2.51837720221,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
blue,blue,1,right,0,3,3,4,,,,,right,1,4.25758646192,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
blue,green,0,down,0,4,4,10,,,,,down,1,4.4530930595,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
red,red,1,left,0,5,5,0,,,,,left,1,2.88518140281,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
green,green,1,down,0,6,6,3,,,,,down,1,6.40139980123,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
green,red,0,left,0,7,7,8,,,,,left,1,5.06966789432,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
red,green,0,down,0,8,8,6,,,,,down,1,1.99922993541,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
blue,blue,1,right,0,9,9,5,,,,,right,1,4.8689550215,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
red,green,0,down,0,10,10,7,,,,,down,1,2.046525472,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
red,red,1,left,0,11,11,1,,,,,left,1,1.33429897893,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
red,green,0,down,1,0,12,6,,,,,down,1,1.91500408553,,,2018_Sep_03_1632,60.0009237496,Stroop,pre,1002,
