word,color,congruent,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp_time.keys,resp_time.corr,resp_time.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,Session,Participant,
blue,green,0,down,0,0,0,10,,,,,right,0,2.58158808412,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
blue,red,0,left,0,1,1,11,,,,,right,0,1.75141738241,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
blue,blue,1,right,0,2,2,5,,,,,right,1,7.41958140248,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,green,0,down,0,3,3,6,,,,,down,1,4.66914648005,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,red,1,left,0,4,4,1,,,,,left,1,1.28436058277,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,red,1,left,0,5,5,0,,,,,left,1,1.2005541234,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,red,0,left,0,6,6,8,,,,,left,1,2.38502139117,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
blue,blue,1,right,0,7,7,4,,,,,right,1,6.48639238756,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,green,1,down,0,8,8,3,,,,,down,1,1.83441415335,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,blue,0,right,0,9,9,9,,,,,right,1,2.58493403605,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,green,0,down,0,10,10,7,,,,,right,0,3.66878639678,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,green,1,down,0,11,11,2,,,,,down,1,1.50110533875,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,green,0,down,1,0,12,6,,,,,down,1,1.85142616354,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,green,0,down,1,1,13,7,,,,,down,1,1.21783127804,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,red,0,left,1,2,14,8,,,,,left,1,1.51775897628,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,green,1,down,1,3,15,3,,,,,down,1,0.900671186097,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
blue,red,0,left,1,4,16,11,,,,,left,1,1.751360077,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,green,1,down,1,5,17,2,,,,,down,1,1.13403451211,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,blue,0,right,1,6,18,9,,,,,right,1,0.984147782965,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,red,1,left,1,7,19,1,,,,,left,1,0.918113984745,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,red,1,left,1,8,20,0,,,,,left,1,0.867969466763,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
blue,blue,1,right,1,9,21,5,,,,,right,1,1.23139726565,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
blue,green,0,down,1,10,22,10,,,,,down,1,0.767718634409,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
blue,blue,1,right,1,11,23,4,,,,,right,1,1.0345391989,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
blue,blue,1,right,,,,,0,0,0,27,right,1,1.20094186152,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,red,1,left,,,,,0,1,1,1,left,1,1.33400047099,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,red,0,left,,,,,0,2,2,39,left,1,0.867840030654,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,blue,0,right,,,,,0,3,3,37,right,1,1.06744020422,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,red,1,left,,,,,0,4,4,7,left,1,1.35114990013,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,green,1,down,,,,,0,5,5,21,down,1,0.852164576587,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,green,1,down,,,,,0,6,6,18,down,1,0.734310718507,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,green,1,down,,,,,0,7,7,23,down,1,0.900390075957,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
blue,red,0,left,,,,,0,8,8,43,left,1,0.967951163243,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,red,1,left,,,,,0,9,9,9,left,1,0.634212130387,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
green,green,1,down,,,,,0,10,10,22,down,1,0.901180662587,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
red,red,1,left,,,,,0,11,11,5,left,1,0.748766508093,,,2019_Jan_04_1408,59.9652263706,Stroop,pre,1002,
