# type,stim,RT
none,4,0
none,9,0
cor,3,0.433
none,4,0
none,9,0
cor,3,0.599
none,4,0
none,4,0
cor,3,0.5
none,4,0
cor,3,0.533
none,9,0
none,5,0
none,5,0
none,6,0
cor,3,0.599
none,9,0
none,2,0
none,2,0
none,6,0
cor,3,0.649
none,5,0
none,5,0
cor,3,0.516
none,5,0
none,1,0
cor,3,0.666
none,6,0
none,5,0
none,7,0
none,1,0
none,9,0
none,5,0
none,2,0
none,5,0
cor,3,0.616
none,2,0
none,7,0
none,1,0
none,8,0
cor,3,0.582
none,2,0
none,2,0
cor,3,0.549
none,5,0
none,2,0
none,1,0
none,4,0
none,1,0
cor,3,0.532
none,4,0
cor,3,0.666
none,2,0
none,2,0
cor,3,0.683
none,1,0
cor,3,0.549
none,6,0
omi,3,0
delay,8,0.299
none,6,0
none,4,0
none,1,0
none,9,0
cor,3,0.55
none,8,0
none,5,0
none,9,0
none,1,0
cor,3,0.466
none,2,0
none,7,0
cor,3,0.633
none,9,0
cor,3,0.499
none,9,0
none,7,0
cor,3,0.633
none,2,0
none,7,0
none,9,0
none,6,0
none,9,0
omi,3,0
none,2,0
none,5,0
none,4,0
cor,3,0.616
none,4,0
none,6,0
cor,3,0.549
none,5,0
none,2,0
none,1,0
none,5,0
none,1,0
cor,3,0.499
none,8,0
cor,3,0.666
none,5,0
none,4,0
none,9,0
cor,3,0.499
none,6,0
none,1,0
cor,3,0.616
none,5,0
none,2,0
none,2,0
none,7,0
cor,3,0.6
none,2,0
none,6,0
cor,3,0.832
none,4,0
cor,3,0.916
none,4,0
omi,3,0
none,1,0
none,7,0
none,1,0
none,9,0
none,4,0
none,8,0
none,8,0
cor,3,0.549
none,7,0
none,4,0
cor,3,0.649
none,1,0
none,6,0
cor,3,0.649
none,4,0
none,9,0
none,4,0
none,9,0
cor,3,0.516
none,2,0
none,6,0
cor,3,0.582
none,7,0
none,4,0
cor,3,0.466
none,8,0
none,1,0
none,2,0
none,7,0
cor,3,0.549
none,2,0
none,4,0
cor,3,0.599
none,5,0
none,8,0
none,6,0
none,7,0
none,9,0
cor,3,0.485
none,6,0
none,7,0
cor,3,0.633
none,4,0
none,5,0
cor,3,0.616
none,2,0
none,7,0
cor,3,0.584
none,1,0
cor,3,0.616
none,7,0
none,7,0
none,7,0
none,4,0
none,2,0
none,7,0
none,5,0
none,7,0
none,2,0
none,2,0
none,2,0
cor,3,0.533
none,4,0
cor,3,0.766
none,5,0
cor,3,0.699
none,8,0
none,5,0
none,8,0
cor,3,0.716
none,6,0
none,1,0
cor,3,0.683
none,2,0
none,6,0
cor,3,0.683
none,9,0
none,6,0
cor,3,0.583
none,8,0
none,2,0
none,9,0
none,4,0
cor,3,0.682
none,9,0
none,2,0
cor,3,0.733
none,2,0
none,9,0
none,5,0
none,4,0
none,8,0
none,6,0
none,5,0
cor,3,0.649
none,6,0
cor,3,0.749
none,2,0
none,6,0
none,5,0
none,9,0
cor,3,0.599
none,1,0
none,4,0
cor,3,0.732
none,6,0
none,7,0
none,1,0
cor,3,0.649
none,8,0
omi,3,0
none,5,0
none,9,0
none,5,0
none,1,0
cor,3,0.55
none,1,0
none,5,0
none,6,0
none,1,0
none,1,0
cor,3,0.549
none,6,0
none,4,0
cor,3,0.616
none,7,0
none,9,0
cor,3,0.915
none,6,0
none,4,0
none,6,0
none,6,0
none,5,0
cor,3,0.682
none,6,0
none,9,0
none,9,0
cor,3,0.633
none,2,0
none,8,0
omi,3,0
none,6,0
none,4,0
none,5,0
cor,3,0.549
none,1,0
cor,3,0.565
none,1,0
cor,3,0.416
none,6,0
none,7,0
none,6,0
none,1,0
