# type,stim,RT
none,9,0
cor,3,0.649
none,6,0
none,7,0
none,5,0
cor,3,0.684
none,5,0
cor,3,0.666
none,6,0
none,9,0
cor,3,0.682
none,1,0
none,1,0
none,6,0
cor,3,0.749
none,5,0
none,4,0
none,4,0
none,7,0
cor,3,0.615
none,1,0
none,4,0
none,9,0
cor,3,0.583
none,1,0
none,5,0
none,9,0
cor,3,0.533
none,4,0
none,8,0
none,2,0
none,9,0
cor,3,0.617
none,2,0
cor,3,0.766
none,1,0
none,5,0
none,7,0
none,6,0
cor,3,0.618
none,1,0
none,6,0
cor,3,0.715
none,7,0
none,6,0
cor,3,0.783
none,8,0
cor,3,0.799
none,8,0
none,9,0
none,8,0
none,2,0
none,4,0
none,6,0
none,4,0
cor,3,0.666
none,8,0
none,2,0
cor,3,0.799
none,5,0
none,4,0
none,7,0
none,8,0
none,5,0
cor,3,0.682
none,8,0
none,1,0
none,1,0
cor,3,0.681
none,9,0
none,9,0
cor,3,0.566
none,6,0
none,6,0
omi,3,0
none,4,0
none,7,0
cor,3,0.6
none,1,0
none,4,0
cor,3,0.567
none,7,0
cor,3,0.665
none,4,0
none,2,0
none,7,0
none,6,0
cor,3,0.714
none,7,0
none,4,0
none,8,0
none,2,0
none,7,0
none,8,0
none,5,0
none,8,0
cor,3,0.649
none,8,0
none,1,0
cor,3,0.65
none,7,0
cor,3,0.765
none,9,0
cor,3,0.682
none,5,0
none,9,0
none,5,0
none,7,0
none,1,0
cor,3,0.584
none,4,0
none,2,0
none,1,0
none,1,0
none,8,0
cor,3,0.766
none,9,0
none,1,0
cor,3,0.666
none,8,0
none,6,0
omi,3,0
none,9,0
none,8,0
none,5,0
none,2,0
cor,3,0.715
none,5,0
none,9,0
none,4,0
none,6,0
cor,3,0.599
none,9,0
cor,3,0.749
none,4,0
none,1,0
none,5,0
cor,3,0.685
none,2,0
none,7,0
cor,3,0.799
none,9,0
none,7,0
cor,3,0.651
none,9,0
none,4,0
none,8,0
none,7,0
cor,3,0.634
none,7,0
none,7,0
cor,3,0.733
none,1,0
none,7,0
none,6,0
none,5,0
none,6,0
none,6,0
none,4,0
cor,3,0.616
none,6,0
cor,3,0.847
none,2,0
none,2,0
none,2,0
cor,3,0.865
none,7,0
none,2,0
cor,3,0.666
none,4,0
none,7,0
none,5,0
cor,3,0.567
none,6,0
none,9,0
none,5,0
none,4,0
none,2,0
cor,3,0.632
none,6,0
cor,3,0.799
none,9,0
none,6,0
cor,3,0.733
none,9,0
none,6,0
none,7,0
cor,3,0.717
none,5,0
none,2,0
cor,3,0.634
none,6,0
none,8,0
none,6,0
none,9,0
omi,3,0
none,6,0
none,9,0
cor,3,0.667
none,2,0
cor,3,0.698
none,7,0
none,8,0
none,1,0
cor,3,0.649
none,8,0
cor,3,0.783
none,7,0
none,6,0
none,7,0
cor,3,0.833
none,1,0
none,5,0
none,7,0
none,8,0
none,5,0
none,4,0
none,5,0
none,2,0
cor,3,0.683
none,6,0
none,5,0
cor,3,0.849
none,6,0
omi,3,0
none,8,0
none,1,0
cor,3,0.616
none,6,0
cor,3,0.7
none,2,0
none,4,0
none,4,0
cor,3,0.616
none,8,0
none,6,0
none,7,0
none,2,0
none,4,0
cor,3,0.731
none,2,0
none,9,0
cor,3,0.717
none,8,0
none,8,0
none,6,0
none,1,0
none,7,0
none,1,0
none,1,0
none,6,0
cor,3,0.6
none,1,0
none,2,0
none,8,0
cor,3,0.582
none,5,0
none,1,0
cor,3,0.547
none,5,0
none,7,0
none,4,0
cor,3,0.616
none,9,0
none,2,0
cor,3,0.699
none,1,0
none,6,0
none,7,0
none,7,0
cor,3,0.616
none,7,0
none,4,0
omi,3,0
none,5,0
none,9,0
omi,3,0
none,8,0
none,5,0
none,7,0
none,2,0
none,8,0
cor,3,0.667
none,7,0
cor,3,0.799
none,8,0
none,8,0
none,5,0
cor,3,0.668
none,9,0
none,9,0
none,7,0
omi,3,0
delay,7,0.333
none,1,0
none,1,0
none,6,0
none,7,0
cor,3,0.649
none,5,0
none,2,0
cor,3,0.799
none,4,0
none,2,0
cor,3,0.6
none,4,0
none,8,0
cor,3,0.733
none,5,0
none,9,0
none,1,0
none,6,0
cor,3,0.6
none,5,0
none,9,0
cor,3,0.549
none,6,0
cor,3,0.866
none,2,0
none,7,0
cor,3,0.699
none,6,0
none,6,0
cor,3,0.749
none,7,0
none,5,0
none,9,0
omi,3,0
delay,1,0.533
none,9,0
none,8,0
none,1,0
none,9,0
cor,3,0.732
none,5,0
none,5,0
none,4,0
cor,3,0.814
none,9,0
