# type,stim,RT
none,6,0
cor,3,0.516
none,6,0
none,5,0
none,7,0
none,7,0
cor,3,0.433
none,5,0
none,4,0
cor,3,0.383
none,6,0
none,6,0
cor,3,0.383
none,2,0
cor,3,0.58
none,5,0
cor,3,0.45
none,2,0
none,4,0
none,7,0
none,2,0
none,4,0
none,7,0
none,5,0
cor,3,0.433
none,9,0
none,5,0
cor,3,0.599
none,4,0
none,6,0
none,4,0
none,4,0
cor,3,0.466
none,8,0
none,5,0
cor,3,0.566
none,6,0
none,8,0
cor,3,0.633
none,2,0
none,8,0
none,2,0
none,8,0
none,6,0
none,6,0
none,4,0
cor,3,0.45
none,1,0
cor,3,0.815
none,1,0
none,7,0
cor,3,0.55
none,1,0
cor,3,0.598
none,9,0
none,6,0
none,2,0
none,8,0
cor,3,0.449
none,2,0
none,9,0
none,4,0
none,6,0
cor,3,0.565
none,4,0
none,7,0
cor,3,0.616
none,9,0
cor,3,0.883
none,7,0
none,8,0
none,4,0
cor,3,0.516
none,6,0
none,2,0
none,7,0
none,8,0
none,9,0
cor,3,0.465
none,4,0
none,8,0
cor,3,0.816
none,6,0
none,4,0
none,6,0
cor,3,0.449
none,1,0
cor,3,0.499
none,4,0
none,7,0
none,7,0
none,4,0
none,9,0
none,2,0
none,5,0
none,6,0
cor,3,0.466
none,1,0
none,7,0
none,2,0
cor,3,0.533
none,9,0
omi,3,0
delay,5,0.2
none,4,0
cor,3,0.366
none,7,0
none,8,0
none,4,0
none,2,0
cor,3,0.449
none,7,0
none,7,0
cor,3,0.532
none,2,0
cor,3,0.783
none,7,0
none,9,0
none,8,0
none,2,0
none,1,0
cor,3,0.516
none,5,0
none,4,0
none,8,0
cor,3,0.416
none,2,0
none,8,0
cor,3,0.517
none,2,0
none,1,0
cor,3,0.467
none,4,0
none,9,0
none,1,0
none,4,0
none,5,0
none,1,0
cor,3,0.549
none,2,0
none,1,0
none,5,0
none,8,0
cor,3,0.599
none,7,0
none,1,0
none,5,0
cor,3,0.483
none,8,0
none,6,0
cor,3,0.517
none,5,0
cor,3,0.434
none,2,0
com,1,0.183
none,9,0
cor,3,0.765
none,5,0
omi,3,0
none,7,0
none,5,0
none,2,0
cor,3,0.567
none,2,0
none,2,0
cor,3,0.566
none,6,0
none,6,0
none,6,0
cor,3,0.433
none,4,0
none,5,0
none,4,0
none,7,0
none,2,0
none,7,0
none,2,0
cor,3,0.566
none,6,0
none,1,0
cor,3,0.616
none,1,0
none,5,0
cor,3,0.416
none,5,0
none,5,0
none,9,0
cor,3,0.416
none,7,0
none,8,0
none,7,0
cor,3,0.782
none,4,0
omi,3,0
none,1,0
none,5,0
cor,3,0.483
none,1,0
none,8,0
none,6,0
none,6,0
none,1,0
cor,3,0.449
none,9,0
none,5,0
cor,3,0.716
none,9,0
none,9,0
none,5,0
none,2,0
cor,3,0.416
none,7,0
none,4,0
cor,3,0.516
none,2,0
none,9,0
none,9,0
none,8,0
cor,3,0.798
none,8,0
none,9,0
none,7,0
none,6,0
none,7,0
none,7,0
cor,3,0.449
none,8,0
cor,3,0.899
none,1,0
omi,3,0
none,4,0
none,8,0
none,8,0
none,7,0
none,8,0
cor,3,0.532
none,8,0
none,7,0
cor,3,0.533
none,2,0
none,6,0
cor,3,0.468
none,5,0
none,6,0
none,5,0
cor,3,0.499
none,2,0
none,2,0
none,9,0
none,9,0
none,6,0
cor,3,0.75
none,2,0
none,1,0
none,2,0
cor,3,0.632
none,4,0
none,5,0
none,5,0
none,9,0
cor,3,0.599
none,2,0
omi,3,0
none,8,0
none,9,0
none,7,0
none,6,0
cor,3,0.632
none,7,0
none,1,0
none,9,0
cor,3,0.416
none,9,0
none,2,0
cor,3,0.483
none,7,0
cor,3,0.534
none,6,0
none,5,0
none,6,0
cor,3,0.416
none,1,0
none,6,0
cor,3,0.482
none,1,0
none,5,0
none,9,0
none,2,0
cor,3,0.666
none,9,0
none,1,0
cor,3,0.682
none,4,0
none,1,0
none,6,0
none,9,0
none,4,0
none,4,0
cor,3,0.532
none,7,0
none,7,0
cor,3,0.433
none,7,0
none,7,0
cor,3,0.565
none,8,0
cor,3,0.815
none,6,0
none,6,0
none,5,0
none,6,0
none,7,0
none,7,0
none,9,0
none,4,0
cor,3,0.565
none,2,0
none,6,0
none,5,0
cor,3,0.566
none,4,0
none,2,0
cor,3,0.682
none,6,0
none,6,0
cor,3,0.866
none,8,0
none,1,0
none,9,0
omi,3,0
none,4,0
none,1,0
omi,3,0
none,5,0
none,4,0
cor,3,0.682
none,7,0
omi,3,0
delay,7,0.216
none,1,0
none,5,0
none,4,0
omi,3,0
none,1,0
none,5,0
none,5,0
none,7,0
none,6,0
omi,3,0
delay,8,0.483
none,5,0
none,6,0
cor,3,0.815
none,8,0
none,6,0
cor,3,0.465
none,9,0
