# type,stim,RT
none,1,0
none,6,0
none,5,0
cor,3,0.5
none,7,0
none,9,0
cor,3,0.417
none,1,0
cor,3,0.667
none,5,0
none,8,0
none,7,0
none,8,0
none,6,0
cor,3,0.5
none,8,0
none,7,0
cor,3,0.517
none,7,0
none,5,0
cor,3,0.434
none,6,0
none,6,0
none,2,0
cor,3,0.45
none,4,0
none,4,0
cor,3,0.517
none,2,0
none,9,0
none,1,0
none,4,0
none,1,0
cor,3,0.467
none,1,0
none,9,0
cor,3,0.617
none,9,0
cor,3,0.684
none,8,0
none,5,0
cor,3,0.467
none,1,0
none,8,0
cor,3,0.532
none,9,0
none,5,0
none,8,0
none,4,0
none,9,0
none,9,0
none,2,0
cor,3,0.483
none,1,0
cor,3,0.717
none,1,0
none,9,0
none,8,0
cor,3,0.483
none,8,0
none,2,0
none,2,0
none,1,0
none,5,0
cor,3,0.534
none,9,0
none,1,0
cor,3,0.65
none,6,0
none,2,0
none,8,0
none,6,0
cor,3,0.583
none,4,0
cor,3,0.7
none,9,0
none,8,0
cor,3,0.567
none,6,0
none,6,0
none,8,0
none,1,0
cor,3,0.65
none,1,0
none,9,0
cor,3,0.517
none,2,0
none,8,0
none,7,0
cor,3,0.533
none,9,0
none,5,0
none,6,0
none,5,0
none,8,0
cor,3,0.517
none,6,0
none,6,0
none,7,0
cor,3,0.534
none,9,0
cor,3,0.65
none,4,0
cor,3,0.567
none,2,0
none,9,0
none,1,0
none,4,0
none,9,0
none,7,0
none,4,0
cor,3,0.816
none,7,0
none,2,0
cor,3,0.75
none,1,0
none,5,0
cor,3,0.666
none,1,0
none,1,0
none,1,0
cor,3,0.617
none,2,0
none,8,0
none,6,0
cor,3,0.617
none,1,0
none,4,0
cor,3,0.734
none,1,0
none,2,0
cor,3,0.55
none,5,0
none,8,0
none,5,0
cor,3,0.583
none,8,0
cor,3,0.783
none,7,0
none,8,0
cor,3,0.567
none,6,0
none,6,0
none,7,0
none,7,0
cor,3,0.517
none,2,0
none,6,0
none,8,0
cor,3,0.634
none,4,0
none,4,0
none,5,0
none,1,0
none,4,0
none,4,0
none,9,0
none,1,0
none,2,0
cor,3,0.65
none,6,0
none,1,0
cor,3,0.517
none,4,0
none,7,0
none,2,0
cor,3,0.517
none,5,0
none,6,0
none,9,0
cor,3,0.784
none,4,0
none,2,0
cor,3,0.7
none,7,0
none,2,0
cor,3,0.717
none,7,0
none,9,0
none,8,0
cor,3,0.483
none,6,0
none,1,0
cor,3,0.65
none,6,0
none,4,0
none,2,0
cor,3,0.5
none,4,0
omi,3,0
none,6,0
none,6,0
cor,3,0.734
none,5,0
none,4,0
none,5,0
none,8,0
none,9,0
none,6,0
cor,3,0.55
none,4,0
none,7,0
cor,3,0.55
none,2,0
none,6,0
none,2,0
cor,3,0.533
none,2,0
none,2,0
none,5,0
cor,3,0.5
none,8,0
none,4,0
cor,3,0.617
none,2,0
none,9,0
none,7,0
