word,color,congruent,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp_time.keys,resp_time.corr,resp_time.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,Session,Participant,
red,red,1,left,0,0,0,0,,,,,left,1,1.29763872502,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
blue,blue,1,right,0,1,1,5,,,,,right,1,1.28283535037,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
blue,blue,1,right,0,2,2,4,,,,,right,1,1.44577332074,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
green,red,0,left,0,3,3,8,,,,,down,0,1.56439666403,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
red,green,0,down,0,4,4,7,,,,,down,1,2.1642481531,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
red,red,1,left,0,5,5,1,,,,,left,1,1.36708245054,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
blue,green,0,down,0,6,6,10,,,,,right,0,1.55293970089,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
green,green,1,down,0,7,7,3,,,,,down,1,1.49753403524,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
green,blue,0,right,0,8,8,9,,,,,right,1,1.08307212964,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
green,green,1,down,0,9,9,2,,,,,down,1,2.99585525179,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
blue,red,0,left,0,10,10,11,,,,,left,1,1.86442861566,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
red,green,0,down,0,11,11,6,,,,,left,0,1.65766510693,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
green,red,0,left,1,0,12,8,,,,,left,1,2.47520112386,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
red,green,0,down,1,1,13,6,,,,,down,1,1.56973066274,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
red,red,1,left,1,2,14,0,,,,,left,1,1.10054495791,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
blue,blue,1,right,1,3,15,4,,,,,right,1,1.08819505293,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
green,blue,0,right,1,4,16,9,,,,,right,1,1.9181090882,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
red,green,0,down,1,5,17,7,,,,,down,1,2.7245982429,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
red,red,1,left,1,6,18,1,,,,,left,1,1.39354047552,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
green,green,1,down,1,7,19,3,,,,,down,1,2.0456895153,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
blue,green,0,down,1,8,20,10,,,,,down,1,1.60643587308,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
green,green,1,down,1,9,21,2,,,,,down,1,1.12070508907,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
blue,red,0,left,1,10,22,11,,,,,left,1,1.60305911675,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
blue,blue,1,right,1,11,23,5,,,,,right,1,1.28757494735,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
blue,blue,1,right,,,,,0,0,0,24,right,1,2.51766069839,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
green,green,1,down,,,,,0,1,1,23,down,1,1.04235961474,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
red,red,1,left,,,,,0,2,2,9,left,1,1.06151881255,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
blue,blue,1,right,,,,,0,3,3,30,right,1,1.52281709015,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
red,red,1,left,,,,,0,4,4,3,left,1,1.17449176824,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
red,red,1,left,,,,,0,5,5,11,left,1,0.733090336435,,,2018_Aug_15_1441,59.8606666103,Stroop,pre,1004,
