word,color,congruent,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp_time.keys,resp_time.corr,resp_time.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,Session,Participant,
blue,blue,1,right,0,0,0,5,,,,,right,1,1.36483661666,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,red,0,left,0,1,1,8,,,,,left,1,2.80030637049,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,blue,1,right,0,2,2,4,,,,,right,1,1.41602894126,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,red,0,left,0,3,3,11,,,,,left,1,1.8351971394,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,green,0,down,0,4,4,7,,,,,down,1,0.599993214575,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,green,1,down,0,5,5,2,,,,,down,1,1.19913597022,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,green,1,down,0,6,6,3,,,,,down,1,0.684569544618,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,red,1,left,0,7,7,1,,,,,left,1,2.19938030254,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,green,0,down,0,8,8,6,,,,,down,1,4.11964585784,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,red,1,left,0,9,9,0,,,,,left,1,1.51868472236,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,blue,0,right,0,10,10,9,,,,,right,1,1.3838660272,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,green,0,down,0,11,11,10,,,,,down,1,1.78368835171,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,blue,0,right,1,0,12,9,,,,,right,1,1.66691546558,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,blue,1,right,1,1,13,4,,,,,right,1,1.35080960383,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,blue,1,right,1,2,14,5,,,,,right,1,1.03458998642,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,red,0,left,1,3,15,8,,,,,left,1,1.24995880278,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,red,1,left,1,4,16,0,,,,,left,1,1.31732381701,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,green,0,down,1,5,17,10,,,,,down,1,1.71659646508,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,green,1,down,1,6,18,3,,,,,down,1,0.780880383222,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,green,0,down,1,7,19,6,,,,,down,1,1.79892334123,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,red,1,left,1,8,20,1,,,,,left,1,2.61885213419,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,green,0,down,1,9,21,7,,,,,down,1,2.35145364899,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,green,1,down,1,10,22,2,,,,,down,1,0.946827072591,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,red,0,left,1,11,23,11,,,,,left,1,1.73339980009,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,blue,0,right,,,,,0,0,0,37,right,1,1.59590599393,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,green,1,down,,,,,0,1,1,18,down,1,0.880015726219,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,blue,1,right,,,,,0,2,2,31,right,1,0.983015910396,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,red,0,left,,,,,0,3,3,43,left,1,1.05080030951,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,green,1,down,,,,,0,4,4,22,down,1,1.43531180738,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,green,1,down,,,,,0,5,5,19,down,1,0.685516082883,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,green,1,down,,,,,0,6,6,20,down,1,0.550313070382,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,red,1,left,,,,,0,7,7,6,left,1,1.89976644453,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,red,1,left,,,,,0,8,8,7,left,1,0.751078397887,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,red,1,left,,,,,0,9,9,11,left,1,0.518078595748,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,blue,1,right,,,,,0,10,10,32,right,1,1.31832680545,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,blue,1,right,,,,,0,11,11,33,right,1,0.604122915406,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,green,1,down,,,,,0,12,12,12,down,1,0.86757131396,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,blue,1,right,,,,,0,13,13,34,right,1,1.53417516318,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,red,1,left,,,,,0,14,14,9,left,1,0.967724470695,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,blue,0,right,,,,,0,15,15,41,right,1,1.66618218353,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,red,0,left,,,,,0,16,16,44,left,1,2.18257012509,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,blue,1,right,,,,,0,17,17,30,right,1,2.00187055348,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
blue,blue,1,right,,,,,0,18,18,24,right,1,0.684416159804,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
red,red,1,left,,,,,0,19,19,10,left,1,1.18320846821,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
green,blue,0,right,,,,,0,20,20,40,right,1,1.53255036752,,,2018_Dec_17_1304,59.9316534903,Stroop,foll,1004,
