# type,stim,RT
none,1,0
cor,3,0.65
none,2,0
cor,3,0.599
none,9,0
none,5,0
none,2,0
none,4,0
none,6,0
none,5,0
cor,3,0.616
none,9,0
none,2,0
cor,3,0.732
none,4,0
none,1,0
cor,3,0.765
none,2,0
none,6,0
none,7,0
none,6,0
cor,3,0.632
none,5,0
none,8,0
cor,3,0.734
none,7,0
none,5,0
cor,3,0.636
none,7,0
none,4,0
none,1,0
none,4,0
none,9,0
cor,3,0.665
none,1,0
none,1,0
none,4,0
none,7,0
cor,3,0.7
none,1,0
none,5,0
none,7,0
cor,3,0.548
none,5,0
none,6,0
cor,3,0.683
none,5,0
none,5,0
none,2,0
cor,3,0.632
none,8,0
none,4,0
cor,3,0.682
none,1,0
none,6,0
none,6,0
cor,3,0.685
none,5,0
none,4,0
cor,3,0.599
none,9,0
none,9,0
none,1,0
none,1,0
none,7,0
none,5,0
none,4,0
cor,3,0.433
none,8,0
none,6,0
cor,3,0.866
none,8,0
none,6,0
none,2,0
cor,3,0.599
none,8,0
none,8,0
cor,3,0.549
none,1,0
none,6,0
cor,3,0.633
none,7,0
none,2,0
cor,3,0.583
none,6,0
none,2,0
none,6,0
cor,3,0.616
none,4,0
none,7,0
cor,3,0.582
none,5,0
none,4,0
none,2,0
none,4,0
none,5,0
cor,3,0.598
none,9,0
none,5,0
none,5,0
cor,3,0.58
none,6,0
cor,3,0.699
none,1,0
none,5,0
cor,3,0.632
none,9,0
none,1,0
cor,3,0.516
none,5,0
none,8,0
cor,3,0.55
none,8,0
none,7,0
cor,3,0.582
none,1,0
none,6,0
none,7,0
none,9,0
cor,3,0.516
none,4,0
none,9,0
none,2,0
none,2,0
none,4,0
none,5,0
none,8,0
cor,3,0.549
none,9,0
none,1,0
none,2,0
none,2,0
none,8,0
cor,3,0.566
none,8,0
none,8,0
none,5,0
none,7,0
cor,3,0.517
none,4,0
cor,3,0.65
none,2,0
none,9,0
cor,3,0.615
none,6,0
none,5,0
cor,3,0.5
none,8,0
none,2,0
cor,3,0.549
none,2,0
cor,3,0.583
none,5,0
none,7,0
none,6,0
none,8,0
none,9,0
none,5,0
none,4,0
none,8,0
cor,3,0.534
none,9,0
cor,3,0.566
none,9,0
none,2,0
cor,3,0.816
none,7,0
none,4,0
none,6,0
none,9,0
none,7,0
none,2,0
cor,3,0.466
none,9,0
none,8,0
cor,3,0.583
none,7,0
cor,3,0.632
none,4,0
none,9,0
cor,3,0.582
none,2,0
none,6,0
cor,3,0.583
none,8,0
none,5,0
none,1,0
cor,3,0.45
none,6,0
none,2,0
none,2,0
cor,3,0.65
none,4,0
none,7,0
cor,3,0.599
none,9,0
none,9,0
none,6,0
cor,3,0.632
none,7,0
none,1,0
none,2,0
none,4,0
none,2,0
