60.2226 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1ACF68F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
60.2231 	EXP 	window1: recordFrameIntervals = False
60.3805 	EXP 	window1: recordFrameIntervals = True
60.5666 	EXP 	window1: recordFrameIntervals = False
70.7945 	EXP 	Created instr = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=28, italic=False, name='instr', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=newstr(...), units='pix', win=Window(...), wrapWidth=900)
71.4396 	EXP 	Created stimuli = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='stimuli', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
72.3666 	EXP 	Created hint = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='hint', opacity=1.0, ori=0, pos=array([ 0. ,  0.7]), rgb=array([ 255.,  255.,  255.]), text='left => red    down => green   right = blue', units='norm', win=Window(...), wrapWidth=1)
72.8504 	EXP 	Created msgFeedback = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='msgFeedback', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
77.0191 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=28, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units='pix', win=Window(...), wrapWidth=900)
77.3306 	EXP 	Created stimuli = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='stimuli', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
78.0978 	EXP 	Created hint = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='hint', opacity=1.0, ori=0, pos=array([ 0. ,  0.7]), rgb=array([ 255.,  255.,  255.]), text='left => red    down => green   right = blue', units='norm', win=Window(...), wrapWidth=1)
79.4806 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=28, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units='pix', win=Window(...), wrapWidth=900)
79.5072 	EXP 	instr: autoDraw = True
136.9329 	DATA 	Keypress: space
137.2400 	EXP 	Imported pract_conditions.xlsx as conditions, 12 conditions, 4 params
137.2454 	EXP 	Created sequence: random, trialTypes=12, nReps=2, seed=None
137.2505 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', u'blue'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
137.4477 	EXP 	instr: autoDraw = False
137.4477 	EXP 	stimuli: color = u'green (named)'
137.4477 	EXP 	stimuli: text = u'blue'
137.4477 	EXP 	hint: autoDraw = True
137.7839 	EXP 	stimuli: autoDraw = True
139.8406 	DATA 	Keypress: down
140.2951 	EXP 	stimuli: autoDraw = False
140.2951 	EXP 	hint: autoDraw = False
140.2951 	EXP 	msgFeedback: text = 'Correct! RT=2.058'
140.2951 	EXP 	msgFeedback: autoDraw = True
141.3479 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
141.4907 	EXP 	msgFeedback: autoDraw = False
141.4907 	EXP 	msgFeedback: autoDraw = False
141.4907 	EXP 	stimuli: color = u'green (named)'
141.4907 	EXP 	stimuli: text = u'red'
141.4907 	EXP 	hint: autoDraw = True
141.8786 	EXP 	stimuli: autoDraw = True
143.3330 	DATA 	Keypress: down
143.7514 	EXP 	stimuli: autoDraw = False
143.7514 	EXP 	hint: autoDraw = False
143.7514 	EXP 	msgFeedback: text = 'Correct! RT=1.466'
143.7514 	EXP 	msgFeedback: autoDraw = True
144.8587 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
145.0403 	EXP 	msgFeedback: autoDraw = False
145.0403 	EXP 	stimuli: color = u'red (named)'
145.0403 	EXP 	stimuli: text = u'green'
145.0403 	EXP 	hint: autoDraw = True
145.3909 	EXP 	stimuli: autoDraw = True
147.3217 	DATA 	Keypress: left
147.7267 	EXP 	stimuli: autoDraw = False
147.7267 	EXP 	hint: autoDraw = False
147.7267 	EXP 	msgFeedback: text = 'Correct! RT=1.941'
147.7267 	EXP 	msgFeedback: autoDraw = True
148.8381 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
148.8546 	EXP 	msgFeedback: autoDraw = False
148.8546 	EXP 	msgFeedback: autoDraw = False
148.8546 	EXP 	stimuli: color = u'blue (named)'
148.8546 	EXP 	stimuli: text = u'green'
148.8546 	EXP 	hint: autoDraw = True
149.3674 	EXP 	stimuli: autoDraw = True
150.6495 	DATA 	Keypress: right
151.0469 	EXP 	stimuli: autoDraw = False
151.0469 	EXP 	hint: autoDraw = False
151.0469 	EXP 	msgFeedback: text = 'Correct! RT=1.292'
151.0469 	EXP 	msgFeedback: autoDraw = True
152.1668 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
152.1842 	EXP 	msgFeedback: autoDraw = False
152.1842 	EXP 	msgFeedback: autoDraw = False
152.1842 	EXP 	stimuli: color = u'green (named)'
152.1842 	EXP 	stimuli: text = u'green'
152.1842 	EXP 	hint: autoDraw = True
152.6970 	EXP 	stimuli: autoDraw = True
153.4647 	DATA 	Keypress: down
153.8620 	EXP 	stimuli: autoDraw = False
