word,color,congruent,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp_time.keys,resp_time.corr,resp_time.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,Session,Participant,
blue,red,0,left,0,0,0,11,,,,,left,1,3.21842396817,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,green,0,down,0,1,1,6,,,,,down,1,1.01724467273,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,green,0,down,0,2,2,7,,,,,down,1,0.634441505361,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,0,3,3,3,,,,,down,1,0.651099723508,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,0,4,4,4,,,,,right,1,0.517593067234,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,0,5,5,5,,,,,right,1,0.634363102342,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,green,0,down,0,6,6,10,,,,,down,1,0.733794381098,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,0,7,7,2,,,,,down,1,0.534191984189,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,0,8,8,0,,,,,left,1,0.434390928286,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,blue,0,right,0,9,9,9,,,,,right,1,0.751212965978,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,red,0,left,0,10,10,8,,,,,left,1,1.18461715663,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,0,11,11,1,,,,,left,1,0.501068846974,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,green,0,down,1,0,12,10,,,,,down,1,0.417478969459,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,1,1,13,2,,,,,down,1,0.567213625133,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,green,0,down,1,2,14,7,,,,,down,1,0.467548277728,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,green,0,down,1,3,15,6,,,,,down,1,0.517598199069,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,red,0,left,1,4,16,11,,,,,down,0,0.68378408892,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,1,5,17,1,,,,,left,1,0.551687546578,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,1,6,18,0,,,,,left,1,0.600924642439,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,blue,0,right,1,7,19,9,,,,,right,1,0.76765735771,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,1,8,20,4,,,,,right,1,0.516607755113,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,red,0,left,1,9,21,8,,,,,left,1,1.01771623125,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,1,10,22,5,,,,,right,1,0.884351270613,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,1,11,23,3,,,,,down,1,1.23159995188,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,0,0,13,down,1,0.617786708435,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,1,1,11,left,1,0.533592700023,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,red,0,left,,,,,0,2,2,44,left,1,0.600815448417,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,3,3,31,right,1,0.534042020597,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,4,4,16,down,1,0.433986368708,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,green,0,down,,,,,0,5,5,36,down,1,0.684376530641,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,6,6,4,left,1,0.450496904079,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,7,7,30,right,1,0.483760026321,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,blue,0,right,,,,,0,8,8,40,right,1,0.534406095706,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,9,9,20,left,0,0.551095104857,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,10,10,26,right,1,0.63420116447,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,11,11,32,right,1,0.567632154703,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,red,0,left,,,,,0,12,12,39,left,1,1.1661325758,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,13,13,21,down,1,0.350425571587,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,14,14,17,left,0,1.9348619166,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,15,15,10,left,1,0.567790101149,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,blue,0,right,,,,,0,16,16,41,right,1,0.584150958028,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,17,17,35,left,0,0.384201592124,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,18,18,14,down,1,0.71769980938,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,19,19,28,right,1,0.567667507337,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,20,20,12,down,1,0.684300123335,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,21,21,6,left,1,0.434440821116,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,22,22,2,left,1,0.551113921581,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,23,23,9,left,1,0.384345568576,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,24,24,1,left,1,0.334339267824,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,green,0,down,,,,,0,25,25,42,down,1,0.984299439091,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,26,26,22,down,1,0.465775229094,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,green,0,down,,,,,0,27,27,38,down,1,0.384255761482,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,28,28,7,left,1,0.567690030386,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,29,29,24,right,1,0.584259866949,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,30,30,18,down,1,0.851256643587,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,blue,0,right,,,,,0,31,31,37,right,1,0.617739381522,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,32,32,29,right,1,0.500899781555,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,33,33,5,left,1,0.384263744334,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,34,34,0,left,1,0.317519111805,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,35,35,8,left,1,0.284239738756,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,36,36,34,right,1,0.617564328963,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
red,red,1,left,,,,,0,37,37,3,left,1,0.501119880211,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,38,38,15,down,1,0.585376611039,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,39,39,19,down,1,0.417715889127,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
green,green,1,down,,,,,0,40,40,23,down,1,0.300461180812,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,41,41,33,right,1,0.5011181696,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
blue,blue,1,right,,,,,0,42,42,25,right,1,0.300423832466,,,2018_Nov_02_1822,59.9803344175,Stroop,post,1006,
