# type,stim,RT
none,5,0
none,4,0
none,6,0
none,7,0
none,4,0
none,2,0
none,2,0
cor,3,0.684
none,8,0
none,7,0
cor,3,0.7
none,5,0
none,5,0
cor,3,0.584
none,9,0
none,4,0
cor,3,0.7
none,9,0
none,8,0
cor,3,0.817
none,9,0
cor,3,0.768
none,1,0
none,4,0
cor,3,0.633
none,1,0
none,4,0
cor,3,0.617
none,7,0
none,1,0
none,8,0
none,7,0
cor,3,0.568
none,7,0
none,1,0
none,4,0
cor,3,0.683
none,5,0
none,6,0
cor,3,0.784
none,9,0
none,9,0
cor,3,0.717
none,9,0
none,8,0
none,9,0
none,4,0
cor,3,0.667
none,5,0
none,1,0
cor,3,0.684
none,6,0
none,4,0
none,9,0
none,8,0
cor,3,0.617
none,5,0
none,7,0
cor,3,0.617
none,8,0
none,5,0
none,2,0
none,1,0
none,8,0
none,6,0
none,1,0
cor,3,0.617
none,6,0
none,8,0
cor,3,0.634
none,1,0
none,9,0
cor,3,0.667
none,1,0
cor,3,0.701
none,4,0
none,8,0
cor,3,0.617
none,9,0
none,4,0
none,7,0
cor,3,0.667
none,8,0
cor,3,0.834
none,2,0
none,4,0
none,6,0
cor,3,0.617
none,5,0
none,1,0
none,1,0
none,4,0
none,2,0
none,8,0
none,6,0
cor,3,0.684
none,9,0
none,6,0
cor,3,0.634
none,7,0
none,5,0
none,6,0
none,9,0
none,7,0
cor,3,0.667
none,2,0
none,8,0
cor,3,0.667
none,9,0
none,9,0
none,1,0
cor,3,0.617
none,4,0
cor,3,0.7
none,9,0
none,6,0
none,6,0
none,7,0
cor,3,0.75
none,7,0
none,4,0
cor,3,0.684
none,6,0
none,8,0
none,4,0
none,4,0
none,4,0
cor,3,0.6
none,9,0
none,1,0
none,7,0
none,7,0
none,7,0
cor,3,0.717
none,6,0
none,8,0
cor,3,0.8
none,5,0
none,5,0
none,7,0
cor,3,0.6
none,6,0
none,4,0
none,5,0
cor,3,0.501
none,9,0
cor,3,0.734
none,7,0
none,8,0
cor,3,0.6
none,1,0
none,9,0
cor,3,0.6
none,4,0
none,7,0
none,7,0
cor,3,0.634
none,9,0
none,1,0
none,1,0
none,9,0
none,6,0
none,7,0
none,4,0
cor,3,0.5
none,5,0
none,5,0
cor,3,0.817
none,9,0
cor,3,0.667
none,4,0
none,2,0
none,7,0
cor,3,0.617
none,6,0
none,1,0
cor,3,0.633
none,5,0
none,6,0
none,8,0
cor,3,0.633
none,1,0
none,7,0
cor,3,0.684
none,4,0
none,2,0
none,1,0
none,7,0
none,1,0
none,7,0
cor,3,0.5
none,1,0
none,7,0
none,8,0
cor,3,0.584
none,2,0
none,5,0
cor,3,0.617
none,2,0
omi,3,0
none,7,0
none,9,0
none,9,0
cor,3,0.768
none,7,0
cor,3,0.634
none,7,0
cor,3,0.5
none,9,0
none,4,0
none,2,0
none,7,0
cor,3,0.567
none,6,0
none,1,0
none,6,0
none,8,0
none,1,0
none,7,0
cor,3,0.65
none,8,0
cor,3,0.767
none,9,0
none,8,0
cor,3,0.634
none,6,0
none,7,0
none,5,0
cor,3,0.6
none,5,0
cor,3,0.784
none,4,0
none,2,0
none,6,0
none,5,0
cor,3,0.55
none,7,0
none,7,0
cor,3,0.717
none,6,0
none,9,0
none,2,0
none,8,0
none,1,0
cor,3,0.584
none,2,0
none,9,0
none,2,0
none,8,0
none,1,0
none,1,0
none,2,0
cor,3,0.484
none,1,0
none,6,0
none,9,0
cor,3,0.584
none,1,0
none,8,0
com,1,0.584
none,4,0
cor,3,0.717
none,5,0
none,5,0
cor,3,0.75
none,5,0
omi,3,0
none,1,0
none,9,0
cor,3,0.667
none,9,0
cor,3,0.667
none,9,0
none,8,0
cor,3,0.733
none,9,0
none,5,0
none,9,0
none,2,0
none,5,0
cor,3,0.65
none,7,0
none,4,0
cor,3,0.667
none,2,0
none,2,0
cor,3,0.667
none,4,0
none,2,0
cor,3,0.617
none,6,0
none,5,0
cor,3,0.7
none,7,0
none,9,0
none,4,0
omi,3,0
none,1,0
none,1,0
cor,3,0.6
none,8,0
none,6,0
none,5,0
none,6,0
none,4,0
cor,3,0.784
none,5,0
none,1,0
none,8,0
none,7,0
none,9,0
cor,3,0.667
none,9,0
none,9,0
none,9,0
cor,3,0.517
none,7,0
none,2,0
cor,3,0.667
none,4,0
none,4,0
none,6,0
cor,3,0.734
none,7,0
none,1,0
none,9,0
cor,3,0.517
none,6,0
none,5,0
none,7,0
omi,3,0
none,4,0
none,2,0
none,6,0
cor,3,0.8
none,2,0
none,2,0
none,2,0
cor,3,0.65
none,8,0
none,7,0
none,9,0
none,4,0
none,6,0
cor,3,0.534
none,2,0
none,7,0
cor,3,0.633
none,4,0
none,1,0
cor,3,0.583
none,6,0
cor,3,0.65
none,6,0
none,9,0
none,9,0
cor,3,0.551
none,8,0
none,6,0
none,4,0
cor,3,0.567
none,1,0
none,4,0
none,6,0
cor,3,0.55
none,9,0
none,9,0
none,2,0
cor,3,0.567
none,8,0
none,5,0
none,5,0
none,4,0
cor,3,0.517
none,7,0
none,9,0
none,4,0
none,4,0
none,9,0
cor,3,0.534
none,1,0
cor,3,0.867
none,9,0
cor,3,0.55
none,1,0
none,7,0
none,7,0
none,4,0
none,7,0
none,5,0
cor,3,0.467
none,6,0
cor,3,0.883
none,9,0
none,2,0
