word,color,congruent,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp_time.keys,resp_time.corr,resp_time.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,Session,Participant,
green,green,1,down,0,0,0,3,,,,,down,1,6.46960266993,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
red,red,1,left,0,1,1,1,,,,,left,1,1.60251939266,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
blue,blue,1,right,0,2,2,5,,,,,right,1,1.90140076499,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
blue,red,0,left,0,3,3,11,,,,,left,1,0.700966383009,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
green,green,1,down,0,4,4,2,,,,,down,1,0.934678769454,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
green,blue,0,right,0,5,5,9,,,,,right,1,1.91793043046,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
red,green,0,down,0,6,6,7,,,,,down,1,2.71925712585,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
red,red,1,left,0,7,7,0,,,,,left,1,1.23466861981,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
blue,green,0,down,0,8,8,10,,,,,down,1,3.30086682526,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
red,green,0,down,0,9,9,6,,,,,down,1,0.7355441692,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
green,red,0,left,0,10,10,8,,,,,left,1,1.03404550006,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
blue,blue,1,right,0,11,11,4,,,,,right,1,1.14851666937,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
green,red,0,left,1,0,12,8,,,,,left,1,1.41539073851,,,2018_Oct_19_1638,59.9399491772,Stroop,pre,1009,
