word,color,congruent,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp_time.keys,resp_time.corr,resp_time.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,Session,Participant,
green,green,1,down,0,0,0,3,,,,,down,1,2.56781775603,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
blue,green,0,down,0,1,1,10,,,,,down,1,1.13431263931,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,red,0,left,0,2,2,8,,,,,left,1,1.2011117263,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,green,0,down,0,3,3,7,,,,,down,1,0.71746545563,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
blue,blue,1,right,0,4,4,5,,,,,right,1,0.517878454223,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,green,0,down,0,5,5,6,,,,,down,1,0.750085388015,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,green,1,down,0,6,6,2,,,,,down,1,0.48348946463,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,red,1,left,0,7,7,1,,,,,left,1,0.63404093721,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,blue,0,right,0,8,8,9,,,,,right,1,0.93357411138,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
blue,blue,1,right,0,9,9,4,,,,,right,1,0.500735562868,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
blue,red,0,left,0,10,10,11,,,,,left,1,1.30056353239,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,red,1,left,0,11,11,0,,,,,left,1,0.566929663654,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,green,0,down,1,0,12,6,,,,,down,1,0.550522335167,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,green,1,down,1,1,13,2,,,,,down,1,0.583789733937,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
blue,green,0,down,1,2,14,10,,,,,down,1,0.650585684806,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
blue,blue,1,right,1,3,15,5,,,,,right,1,0.633791473058,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,green,1,down,1,4,16,3,,,,,down,1,0.66724475826,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,red,1,left,1,5,17,1,,,,,left,1,0.567422034613,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,blue,0,right,1,6,18,9,,,,,right,1,0.984046553717,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
blue,red,0,left,1,7,19,11,,,,,left,1,0.93422984572,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,green,0,down,1,8,20,7,,,,,down,1,0.650874493018,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,red,0,left,1,9,21,8,,,,,left,1,0.917709901988,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
blue,blue,1,right,1,10,22,4,,,,,right,1,0.534101321789,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,red,1,left,1,11,23,0,,,,,left,1,0.984000367211,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,green,1,down,,,,,0,0,0,20,down,1,0.700561764758,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
blue,green,0,down,,,,,0,1,1,42,down,1,0.984117829189,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,green,1,down,,,,,0,2,2,22,down,1,0.600345600507,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,green,1,down,,,,,0,3,3,15,down,1,0.450993266464,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,red,1,left,,,,,0,4,4,0,left,1,0.600573111813,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,red,1,left,,,,,0,5,5,8,left,1,0.433717517629,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
red,red,1,left,,,,,0,6,6,4,left,1,0.433882591622,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
green,green,1,down,,,,,0,7,7,14,down,1,0.550860751106,,,2019_Mar_01_1649,59.8164671374,Stroop,pre,1011,
