block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	1	0	2	1	894	2	0
0	1	2	0	2	2	600	1	0
0	2	1	0	2	1	690	2	0
0	3	1	0	2	1	864	1	0
0	4	1	0	2	1	749	1	0
0	5	2	0	2	2	809	1	0
0	6	1	0	2	1	816	1	0
0	7	2	1	2	0	0	0	550
0	8	1	1	2	0	0	0	600
0	9	1	1	0	1	780	1	650
0	10	1	0	2	1	712	2	0
0	11	2	1	0	2	723	1	600
0	12	2	1	2	0	0	0	550
0	13	2	0	2	2	886	1	0
0	14	1	0	2	1	849	1	0
0	15	1	0	2	1	674	2	0
0	16	2	1	2	0	0	0	600
0	17	1	0	2	1	853	1	0
0	18	2	0	2	2	927	2	0
0	19	1	0	2	1	951	1	0
0	20	1	0	2	1	803	1	0
0	21	2	0	2	2	803	1	0
0	22	2	1	2	0	0	0	650
0	23	2	0	2	2	835	2	0
0	24	2	0	2	2	825	1	0
0	25	1	0	2	1	996	1	0
0	26	1	1	2	0	0	0	700
0	27	2	0	2	2	1027	1	0
0	28	1	0	2	1	871	1	0
0	29	1	0	2	1	888	1	0
0	30	1	1	2	0	0	0	750
0	31	1	0	2	1	828	2	0
0	32	2	0	2	2	909	3	0
0	33	2	0	2	2	913	2	0
0	34	2	0	2	2	730	1	0
0	35	2	0	2	2	957	2	0
0	36	2	1	0	2	910	2	800
0	37	1	0	0	0	0	0	0
0	38	2	0	2	2	493	1	0
0	39	2	1	0	2	680	2	750
0	40	1	0	2	1	803	1	0
0	41	1	0	2	1	703	2	0
0	42	2	0	2	2	946	1	0
0	43	2	0	2	2	980	2	0
0	44	2	0	2	2	714	1	0
0	45	1	1	0	1	764	2	700
0	46	1	0	2	1	1061	2	0
0	47	1	1	2	0	0	0	650
0	48	2	0	2	2	882	1	0
0	49	2	0	2	2	870	1	0
0	50	1	1	0	1	729	2	700
0	51	1	0	2	1	814	2	0
0	52	2	1	0	2	737	2	650
0	53	1	0	2	1	845	1	0
0	54	2	0	2	2	737	3	0
0	55	1	0	2	1	731	1	0
0	56	2	0	2	2	814	1	0
0	57	1	0	2	1	616	1	0
0	58	1	1	0	1	627	2	600
0	59	2	0	2	2	986	1	0
0	60	1	0	2	1	1007	2	0
0	61	2	0	2	2	1074	2	0
0	62	2	0	2	2	914	21	0
0	63	2	0	2	2	922	2	0
1	0	1	0	2	1	885	1	0
1	1	2	0	2	2	908	2	0
1	2	1	0	2	1	967	1	0
1	3	1	0	2	1	745	2	0
1	4	1	0	2	1	929	1	0
1	5	1	0	2	1	1025	1	0
1	6	1	0	2	1	1072	1	0
1	7	1	1	2	0	0	0	550
1	8	2	1	0	2	669	2	600
1	9	2	0	2	2	534	2	0
1	10	1	0	2	1	853	1	0
1	11	2	0	0	0	0	0	0
1	12	2	1	0	2	681	2	550
1	13	1	1	2	0	0	0	500
1	14	1	1	2	0	0	0	550
1	15	2	0	2	2	658	2	0
1	16	1	1	2	0	0	0	600
1	17	1	0	2	1	815	1	0
1	18	2	0	2	2	589	1	0
1	19	2	0	2	2	781	2	0
1	20	1	0	2	1	879	1	0
1	21	1	0	2	1	964	2	0
1	22	2	1	0	2	786	1	650
1	23	2	0	2	2	780	1	0
1	24	2	0	2	2	949	1	0
1	25	2	0	2	2	1025	1	0
1	26	2	0	2	2	572	1	0
1	27	1	0	2	1	1099	2	0
1	28	2	0	2	2	631	2	0
1	29	2	1	2	0	0	0	600
1	30	1	0	2	1	825	1	0
1	31	1	0	2	1	843	1	0
1	32	1	0	2	1	932	2	0
1	33	1	1	2	0	0	0	650
1	34	2	0	2	2	740	2	0
1	35	2	0	2	2	970	1	0
1	36	1	0	2	1	571	2	0
1	37	1	0	2	1	1053	1	0
1	38	2	0	2	2	740	1	0
1	39	1	0	2	1	715	2	0
1	40	2	1	0	2	766	1	700
1	41	2	0	2	2	615	2	0
1	42	2	0	2	2	695	2	0
1	43	1	0	2	1	840	1	0
1	44	2	0	2	2	1010	1	0
1	45	2	0	2	2	944	2	0
1	46	2	0	2	2	1042	2	0
1	47	1	1	2	0	0	0	650
1	48	2	1	2	0	0	0	700
1	49	2	0	2	2	847	1	0
1	50	2	0	2	2	755	2	0
1	51	1	1	0	1	792	3	750
1	52	1	0	2	1	794	1	0
1	53	1	0	2	1	756	1	0
1	54	1	0	2	1	859	1	0
1	55	2	0	2	2	954	1	0
1	56	2	0	2	2	755	1	0
1	57	1	0	2	1	696	1	0
1	58	1	0	2	1	673	1	0
1	59	2	0	2	2	606	1	0
1	60	1	0	2	1	612	2	0
1	61	2	1	0	2	722	2	700
1	62	2	1	0	2	876	1	650
1	63	1	1	0	1	723	1	600
2	0	2	1	0	2	600	1	550
2	1	1	0	2	1	783	2	0
2	2	1	1	2	0	0	0	500
2	3	1	1	2	0	0	0	550
2	4	2	0	2	2	808	1	0
2	5	2	1	2	0	0	0	600
2	6	2	0	2	2	789	1	0
2	7	1	0	2	1	939	1	0
2	8	1	0	2	1	1002	1	0
2	9	1	0	2	1	903	2	0
2	10	1	0	2	1	1039	1	0
2	11	2	0	2	2	1050	1	0
2	12	2	1	2	0	0	0	650
2	13	2	0	2	2	881	1	0
2	14	1	0	2	1	974	1	0
2	15	1	0	2	1	1005	1	0
2	16	1	1	2	0	0	0	700
2	17	2	0	2	2	870	1	0
2	18	2	0	2	2	904	1	0
2	19	1	0	2	1	694	2	0
2	20	2	0	2	2	953	1	0
2	21	2	0	2	2	741	2	0
2	22	1	0	2	1	753	1	0
2	23	2	0	2	2	1063	1	0
2	24	1	0	2	1	758	1	0
2	25	2	0	2	2	693	1	0
2	26	1	0	2	1	721	1	0
2	27	1	0	2	1	676	1	0
2	28	2	0	2	2	549	1	0
2	29	1	0	2	1	656	1	0
2	30	1	1	0	1	846	1	750
2	31	1	0	2	1	782	2	0
2	32	2	0	2	2	566	1	0
2	33	2	1	0	2	568	2	700
2	34	2	0	2	2	621	1	0
2	35	1	0	2	1	609	1	0
2	36	1	0	2	1	476	1	0
2	37	2	0	2	2	743	2	0
2	38	1	0	2	1	597	1	0
2	39	1	0	2	1	546	3	0
2	40	1	0	2	1	520	1	0
2	41	1	0	2	1	483	1	0
2	42	2	1	0	2	633	1	650
2	43	2	0	2	2	441	1	0
2	44	1	0	2	1	912	1	0
2	45	1	1	2	0	0	0	600
2	46	2	1	0	2	670	2	650
2	47	2	0	2	2	581	2	0
2	48	1	0	2	1	640	1	0
2	49	2	0	2	2	735	2	0
2	50	2	0	2	2	755	1	0
2	51	2	0	2	2	504	1	0
2	52	2	0	2	2	511	1	0
2	53	1	1	2	0	0	0	600
2	54	2	0	2	2	704	1	0
2	55	2	0	2	2	444	2	0
2	56	1	1	0	1	703	20	650
2	57	1	0	2	1	923	2	0
2	58	2	1	2	0	0	0	600
2	59	2	0	2	2	787	1	0
2	60	2	1	0	2	497	1	650
2	61	2	0	2	2	758	1	0
2	62	1	1	2	0	0	0	600
2	63	1	0	2	1	724	1	0
