block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	2	0	2	2	796	0	0
0	1	2	1	2	0	0	0	300
0	2	1	1	0	1	661	0	350
0	3	2	1	2	0	0	0	300
0	4	2	0	2	2	631	11	0
0	5	1	0	2	1	603	0	0
0	6	2	1	0	2	640	0	350
0	7	2	0	2	2	813	0	0
0	8	2	0	2	2	729	0	0
0	9	2	1	2	0	0	0	300
0	10	2	0	2	2	787	0	0
0	11	2	1	2	0	0	0	350
0	12	1	1	2	0	0	0	400
0	13	2	0	2	2	689	0	0
0	14	2	0	2	2	645	12	0
0	15	2	0	2	2	562	0	0
0	16	1	1	2	0	0	0	450
0	17	2	0	2	2	563	0	0
0	18	1	0	2	1	696	0	0
0	19	2	1	0	2	605	17	500
0	20	1	0	2	1	617	0	0
0	21	1	0	2	1	654	0	0
0	22	1	0	2	1	619	0	0
0	23	2	0	2	2	608	0	0
0	24	1	0	0	0	0	0	0
0	25	1	1	0	1	833	11	450
0	26	2	1	2	0	0	0	400
0	27	1	0	2	1	698	0	0
0	28	1	0	2	1	655	0	0
0	29	1	0	2	1	596	0	0
0	30	1	0	2	1	632	0	0
0	31	1	0	2	1	589	0	0
0	32	1	1	0	1	642	0	450
0	33	1	0	2	1	846	11	0
0	34	1	0	2	1	859	11	0
0	35	1	1	2	0	0	0	400
0	36	2	0	2	2	572	0	0
0	37	1	1	2	0	0	0	450
0	38	1	0	2	1	638	0	0
0	39	2	0	2	2	546	11	0
0	40	2	0	2	2	655	11	0
0	41	2	0	2	2	828	0	0
0	42	2	0	2	2	585	12	0
0	43	1	0	2	1	909	0	0
0	44	2	0	2	2	642	0	0
0	45	1	1	0	1	735	0	500
0	46	2	0	2	2	667	0	0
0	47	1	0	2	1	632	0	0
0	48	1	0	0	0	0	0	0
0	49	2	0	2	2	849	0	0
0	50	1	0	2	1	646	0	0
0	51	1	0	2	1	779	0	0
0	52	1	0	2	1	743	0	0
0	53	2	0	2	2	692	0	0
0	54	2	0	2	2	609	0	0
0	55	2	0	2	2	589	0	0
0	56	1	0	2	1	618	0	0
0	57	2	0	2	2	591	11	0
0	58	1	0	2	1	571	0	0
0	59	2	1	0	2	544	0	450
0	60	1	0	2	1	733	0	0
0	61	2	0	2	2	769	0	0
0	62	1	0	2	1	662	0	0
0	63	2	0	2	2	555	0	0
1	0	2	0	2	2	744	0	0
1	1	2	0	2	2	621	0	0
1	2	2	0	2	2	546	0	0
1	3	1	0	2	1	766	11	0
1	4	2	1	0	2	619	0	400
1	5	1	1	0	1	584	0	350
