block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	1	0	2	1	500	1	0
0	1	1	0	2	1	516	2	0
0	2	2	0	2	2	484	1	0
0	3	1	0	0	2	551	1	0
0	4	2	1	2	0	0	0	200
0	5	2	0	2	2	397	0	0
0	6	1	0	2	1	487	1	0
0	7	2	0	2	2	598	0	0
0	8	1	0	2	1	541	1	0
0	9	1	0	2	1	817	1	0
0	10	2	0	2	2	565	0	0
0	11	2	0	2	2	607	2	0
0	12	1	1	0	1	571	1	250
0	13	2	1	2	0	0	0	200
0	14	2	0	2	2	531	1	0
0	15	1	1	2	0	0	0	250
0	16	1	0	2	1	1037	1	0
0	17	1	0	2	1	737	2	0
0	18	2	0	2	2	569	1	0
0	19	1	0	2	1	573	1	0
0	20	1	1	0	1	484	2	300
0	21	2	1	0	2	531	1	250
0	22	2	0	2	2	686	1	0
0	23	2	0	2	2	530	1	0
0	24	1	0	2	1	417	1	0
0	25	2	1	0	2	385	2	200
0	26	2	0	2	2	536	1	0
0	27	2	1	2	0	0	0	150
0	28	1	0	2	1	457	1	0
0	29	1	0	2	1	488	1	0
0	30	1	0	2	1	461	0	0
0	31	2	0	2	2	542	0	0
0	32	1	0	2	1	456	0	0
0	33	1	0	2	1	428	1	0
0	34	1	0	2	1	468	1	0
0	35	2	0	2	2	676	1	0
0	36	1	0	2	1	562	1	0
0	37	1	0	2	1	776	1	0
0	38	1	1	2	0	0	0	200
0	39	2	0	2	2	564	0	0
0	40	2	0	2	2	701	0	0
0	41	1	1	2	0	0	0	250
0	42	2	0	2	2	601	1	0
0	43	1	0	2	1	512	1	0
0	44	1	0	2	1	535	1	0
0	45	2	0	2	2	377	1	0
0	46	1	0	2	1	523	1	0
0	47	2	1	0	1	532	1	300
0	48	1	0	2	1	952	1	0
0	49	2	0	2	2	586	1	0
0	50	2	0	2	2	620	1	0
0	51	2	0	2	2	530	1	0
0	52	2	1	0	2	398	2	250
0	53	2	1	2	0	0	0	200
0	54	1	1	0	1	513	1	250
0	55	2	0	2	2	631	1	0
0	56	1	1	2	0	0	0	200
0	57	1	0	2	1	434	0	0
0	58	2	0	2	2	472	0	0
0	59	1	0	2	1	373	1	0
0	60	1	1	2	0	0	0	250
0	61	2	0	2	2	476	0	0
0	62	2	0	2	2	673	0	0
0	63	2	0	2	2	467	0	0
1	0	2	1	0	2	655	1	300
1	1	2	0	2	2	528	1	0
1	2	1	0	2	1	446	2	0
1	3	2	0	2	2	419	1	0
1	4	2	0	2	2	367	0	0
1	5	2	0	2	2	369	0	0
1	6	1	1	2	0	0	0	250
1	7	2	0	2	2	667	1	0
1	8	2	0	2	2	440	2	0
1	9	2	0	2	2	499	1	0
1	10	2	0	2	2	479	1	0
1	11	1	0	2	1	436	1	0
1	12	2	1	0	2	438	1	300
1	13	1	0	2	1	630	0	0
1	14	1	1	2	0	0	0	250
1	15	2	1	2	0	0	0	300
1	16	2	0	2	2	552	2	0
1	17	1	0	2	1	538	1	0
1	18	2	0	2	2	429	1	0
1	19	1	0	2	1	511	1	0
1	20	1	0	2	1	445	1	0
