block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	1	1	2	0	0	0	400
0	1	1	1	2	0	0	0	450
0	2	2	0	2	2	757	1	0
0	3	2	0	2	2	621	1	0
0	4	1	0	2	1	638	1	0
0	5	2	0	2	2	695	1	0
0	6	2	0	2	2	460	1	0
0	7	2	1	0	2	496	1	500
0	8	2	0	2	2	539	1	0
0	9	2	1	0	2	526	2	450
0	10	2	0	2	2	752	1	0
0	11	1	0	2	1	550	2	0
0	12	1	0	2	1	573	1	0
0	13	1	1	2	0	0	0	400
0	14	1	0	2	1	789	2	0
0	15	2	0	2	2	565	2	0
0	16	1	0	2	1	617	1	0
0	17	1	0	2	1	534	3	0
0	18	1	0	2	1	726	1	0
0	19	1	0	2	1	680	2	0
0	20	1	0	2	1	669	1	0
0	21	2	0	2	2	805	2	0
0	22	2	0	2	2	444	1	0
0	23	2	0	2	2	413	2	0
0	24	2	0	2	2	416	1	0
0	25	2	0	2	2	379	1	0
0	26	2	1	0	2	484	1	450
0	27	1	0	2	1	619	1	0
0	28	1	0	2	1	587	2	0
0	29	2	0	2	2	617	1	0
0	30	1	0	2	1	562	1	0
0	31	2	0	2	2	559	1	0
0	32	1	0	2	1	708	1	0
0	33	2	1	0	2	549	1	400
0	34	1	0	2	1	584	1	0
0	35	1	1	2	0	0	0	350
0	36	2	0	2	2	728	1	0
0	37	1	0	2	1	692	1	0
0	38	1	0	2	1	783	1	0
0	39	2	1	2	0	0	0	400
0	40	2	0	2	2	742	1	0
0	41	1	1	2	0	0	0	450
0	42	2	0	2	2	694	1	0
0	43	2	1	2	0	0	0	500
0	44	1	1	0	1	608	2	550
0	45	2	0	2	2	902	1	0
0	46	1	0	2	1	585	1	0
0	47	1	0	2	1	850	1	0
0	48	2	0	2	2	569	1	0
0	49	2	0	2	2	469	1	0
0	50	1	0	2	1	732	2	0
0	51	1	0	2	1	580	1	0
0	52	1	1	2	0	0	0	500
0	53	2	0	2	2	731	1	0
0	54	1	0	2	1	679	2	0
0	55	2	1	0	2	767	2	550
0	56	1	1	2	0	0	0	500
0	57	1	0	2	1	786	1	0
0	58	2	1	2	0	0	0	550
0	59	2	0	2	2	898	1	0
0	60	1	0	2	1	1040	1	0
0	61	2	0	2	2	922	1	0
0	62	2	0	2	2	851	1	0
0	63	1	0	2	1	744	1	0
1	0	1	0	2	1	1091	2	0
1	1	1	1	2	0	0	0	600
1	2	1	0	2	1	780	1	0
1	3	2	0	2	2	864	1	0
1	4	2	0	2	2	727	1	0
1	5	1	1	0	1	557	1	650
1	6	2	1	0	2	616	3	600
1	7	1	0	2	1	789	2	0
1	8	1	0	2	1	640	2	0
1	9	2	0	2	2	645	1	0
1	10	1	0	2	1	644	1	0
1	11	2	0	2	2	688	2	0
1	12	2	1	0	2	576	1	550
1	13	1	0	2	1	586	2	0
1	14	1	0	2	1	674	2	0
1	15	2	0	2	2	928	1	0
1	16	1	0	2	1	503	2	0
1	17	2	1	2	0	0	0	500
1	18	1	0	2	1	536	2	0
1	19	2	0	2	2	676	2	0
1	20	2	0	2	2	531	1	0
1	21	2	0	2	2	540	1	0
1	22	2	1	2	0	0	0	550
1	23	1	0	2	1	432	1	0
1	24	2	0	2	2	587	1	0
1	25	1	0	2	1	544	1	0
1	26	1	0	2	1	932	1	0
1	27	1	0	2	1	576	1	0
1	28	1	1	2	0	0	0	600
1	29	2	0	2	2	450	1	0
1	30	1	1	0	1	633	2	650
1	31	1	1	0	1	620	1	600
1	32	2	0	2	2	595	1	0
1	33	1	0	2	1	740	1	0
1	34	1	0	2	1	580	21	0
1	35	1	0	2	1	637	2	0
1	36	2	0	2	2	581	1	0
1	37	2	1	0	2	423	1	550
1	38	1	0	2	1	557	2	0
1	39	1	1	0	1	548	2	500
1	40	2	0	2	2	563	1	0
1	41	1	0	2	1	709	1	0
1	42	1	0	2	1	542	1	0
1	43	1	1	2	0	0	0	450
1	44	2	0	2	2	670	1	0
1	45	1	0	2	1	738	1	0
1	46	2	0	2	2	713	2	0
1	47	2	0	2	2	764	2	0
1	48	1	0	2	1	654	1	0
1	49	2	0	2	2	759	1	0
1	50	2	0	2	2	616	1	0
1	51	1	0	2	1	555	2	0
1	52	2	0	2	2	618	1	0
1	53	2	0	2	2	603	1	0
1	54	2	0	2	2	757	1	0
1	55	1	0	2	1	718	1	0
1	56	2	1	2	0	0	0	500
1	57	2	0	2	2	611	2	0
1	58	2	0	2	2	739	1	0
1	59	1	1	0	1	628	1	550
1	60	2	1	2	0	0	0	500
1	61	2	1	2	0	0	0	550
1	62	1	0	2	1	827	18	0
1	63	2	0	2	2	887	1	0
2	0	1	0	0	0	0	0	0
2	1	1	0	2	1	813	1	0
2	2	2	1	0	2	771	1	600
2	3	2	1	2	0	0	0	550
2	4	2	0	2	2	1035	1	0
2	5	2	1	2	0	0	0	600
2	6	1	1	2	0	0	0	650
2	7	2	1	2	0	0	0	700
2	8	2	0	2	2	1136	1	0
2	9	1	0	2	1	935	2	0
2	10	1	0	2	1	1065	0	0
2	11	1	0	2	1	1156	1	0
2	12	2	1	0	2	897	1	750
2	13	2	0	2	2	1108	2	0
2	14	2	0	2	2	1047	1	0
2	15	1	0	2	1	933	2	0
2	16	1	0	2	1	1001	1	0
2	17	1	0	2	1	890	1	0
2	18	2	0	2	2	1026	1	0
2	19	1	0	2	1	961	1	0
2	20	1	0	2	1	863	1	0
2	21	2	0	2	2	723	1	0
2	22	2	0	2	2	803	1	0
2	23	2	0	2	2	840	1	0
2	24	2	0	2	2	831	2	0
2	25	2	0	2	2	681	1	0
2	26	1	1	0	1	790	2	700
2	27	2	0	2	2	794	1	0
2	28	1	0	2	1	1039	1	0
2	29	1	0	2	1	854	1	0
2	30	1	0	2	1	946	2	0
2	31	2	0	2	2	892	2	0
2	32	1	0	2	1	965	1	0
2	33	2	0	2	2	726	1	0
2	34	1	0	2	1	688	1	0
2	35	2	0	2	2	713	1	0
2	36	2	0	2	2	981	1	0
2	37	2	0	2	2	850	2	0
2	38	1	0	2	1	868	2	0
2	39	2	0	2	2	862	1	0
2	40	1	1	2	0	0	0	650
2	41	1	0	2	1	1048	17	0
2	42	2	1	2	0	0	0	700
2	43	1	0	2	1	1000	1	0
2	44	1	1	2	0	0	0	750
2	45	1	0	2	1	1065	1	0
2	46	1	1	2	0	0	0	800
2	47	1	0	2	1	1152	1	0
2	48	1	0	0	0	0	0	0
2	49	1	0	2	1	702	1	0
2	50	1	1	0	1	961	1	850
2	51	1	1	2	0	0	0	800
2	52	1	1	2	0	0	0	850
2	53	2	0	0	0	0	0	0
2	54	2	0	2	2	532	1	0
2	55	2	0	2	2	873	1	0
2	56	2	0	2	2	951	2	0
2	57	1	0	2	1	945	1	0
2	58	2	0	2	2	1171	1	0
2	59	2	1	0	2	518	2	900
2	60	2	0	2	2	774	1	0
2	61	2	0	2	2	662	2	0
2	62	2	1	0	2	877	1	850
2	63	1	0	2	1	756	1	0
