block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	2	0	2	2	541	0	0
0	1	1	0	2	1	369	15	0
0	2	1	0	2	1	430	16	0
0	3	1	0	2	1	499	0	0
0	4	1	1	0	1	400	9	250
0	5	2	0	0	1	372	0	0
0	6	1	0	2	1	433	0	0
0	7	1	1	0	1	477	0	200
0	8	1	0	2	1	562	11	0
0	9	2	0	2	2	455	0	0
0	10	1	0	2	1	452	0	0
0	11	2	0	2	2	408	9	0
0	12	1	0	2	1	541	0	0
0	13	1	0	2	1	498	0	0
0	14	2	0	0	1	326	0	0
0	15	2	0	2	2	419	9	0
0	16	1	0	2	1	584	16	0
0	17	2	0	2	2	444	9	0
0	18	1	1	0	1	377	9	150
0	19	2	1	2	0	0	0	100
0	20	1	1	2	0	0	0	150
0	21	2	0	2	2	423	0	0
0	22	2	0	2	2	412	0	0
0	23	1	0	2	1	464	0	0
0	24	2	0	2	2	453	0	0
0	25	2	1	0	2	338	0	200
0	26	1	0	2	1	502	0	0
0	27	2	0	2	2	483	0	0
0	28	1	0	2	1	632	0	0
0	29	2	1	2	0	0	0	150
0	30	1	0	2	1	569	0	0
0	31	1	1	2	0	0	0	200
0	32	2	0	2	2	515	0	0
0	33	2	1	0	2	455	0	250
0	34	2	1	2	0	0	0	200
0	35	1	1	0	1	617	9	250
0	36	1	0	2	1	1045	0	0
0	37	1	0	2	1	530	0	0
0	38	2	0	2	2	447	9	0
0	39	2	0	2	2	299	12	0
0	40	2	0	2	2	376	16	0
0	41	1	0	2	1	509	0	0
0	42	1	0	0	2	281	0	0
0	43	1	0	2	1	486	9	0
0	44	2	0	2	2	459	0	0
0	45	2	1	2	0	0	0	200
0	46	2	1	0	2	500	0	250
0	47	2	0	2	2	713	0	0
0	48	1	0	2	1	702	0	0
0	49	2	0	2	2	474	0	0
0	50	1	0	2	1	471	9	0
0	51	2	0	2	2	387	0	0
0	52	2	1	0	2	368	9	200
0	53	1	0	2	1	621	0	0
0	54	1	0	2	1	410	0	0
0	55	1	0	2	1	382	0	0
0	56	2	0	2	2	427	0	0
0	57	2	0	2	2	504	0	0
0	58	1	1	2	0	0	0	150
0	59	2	0	2	2	585	0	0
0	60	2	0	2	2	446	11	0
0	61	1	1	2	0	0	0	200
0	62	1	0	2	1	599	0	0
0	63	2	0	2	2	420	0	0
