# type,stim,RT
none,9,0
none,8,0
cor,3,0.8
none,6,0
none,5,0
cor,3,0.717
none,4,0
none,7,0
none,8,0
none,4,0
cor,3,0.55
none,2,0
none,4,0
cor,3,0.517
none,5,0
none,7,0
cor,3,0.584
none,7,0
none,1,0
none,2,0
none,7,0
none,7,0
cor,3,0.583
none,8,0
cor,3,0.817
none,2,0
none,1,0
none,7,0
cor,3,0.7
none,6,0
none,4,0
none,4,0
none,7,0
cor,3,0.633
none,9,0
none,1,0
none,9,0
cor,3,0.651
none,9,0
none,9,0
cor,3,0.715
none,9,0
none,6,0
cor,3,0.7
none,5,0
none,5,0
none,1,0
none,5,0
cor,3,0.683
none,5,0
none,5,0
none,2,0
cor,3,0.567
none,2,0
none,6,0
cor,3,0.667
none,7,0
none,5,0
none,9,0
cor,3,0.617
none,8,0
none,1,0
none,4,0
none,9,0
none,4,0
cor,3,0.633
none,7,0
none,5,0
cor,3,0.683
none,5,0
cor,3,0.7
none,1,0
none,4,0
cor,3,0.502
none,6,0
none,6,0
none,2,0
cor,3,0.585
none,8,0
none,8,0
none,7,0
cor,3,0.667
none,4,0
none,5,0
none,9,0
none,4,0
cor,3,0.501
none,8,0
none,4,0
none,1,0
cor,3,0.684
none,1,0
none,7,0
none,7,0
omi,3,0
none,8,0
none,8,0
cor,3,0.834
none,6,0
none,2,0
cor,3,0.799
none,7,0
cor,3,0.818
none,6,0
none,4,0
cor,3,0.567
none,4,0
cor,3,0.567
none,5,0
none,7,0
none,6,0
none,2,0
cor,3,0.569
none,8,0
none,9,0
none,7,0
none,5,0
none,7,0
none,7,0
none,7,0
none,1,0
cor,3,0.615
none,5,0
none,1,0
none,2,0
cor,3,0.6
none,2,0
none,8,0
none,6,0
none,2,0
cor,3,0.6
none,8,0
cor,3,0.766
none,1,0
cor,3,0.7
none,8,0
none,9,0
none,4,0
none,5,0
none,6,0
cor,3,0.565
none,7,0
none,5,0
none,2,0
cor,3,0.667
none,5,0
cor,3,0.767
none,2,0
cor,3,0.6
none,9,0
none,4,0
none,1,0
none,5,0
none,7,0
none,9,0
none,2,0
none,2,0
cor,3,0.517
none,2,0
none,4,0
none,4,0
none,5,0
none,8,0
none,9,0
cor,3,0.634
none,1,0
omi,3,0
delay,1,0.165
none,9,0
none,2,0
none,8,0
cor,3,0.685
none,8,0
none,2,0
cor,3,0.835
none,7,0
none,7,0
cor,3,0.65
none,2,0
none,5,0
cor,3,0.732
none,6,0
none,6,0
cor,3,0.65
none,2,0
none,5,0
none,6,0
none,8,0
none,5,0
cor,3,0.55
none,1,0
none,7,0
none,1,0
cor,3,0.633
none,4,0
none,1,0
omi,3,0
none,2,0
none,9,0
none,6,0
cor,3,0.65
none,5,0
none,9,0
none,7,0
cor,3,0.685
none,1,0
none,8,0
cor,3,0.75
none,8,0
none,7,0
cor,3,0.668
none,2,0
cor,3,0.717
none,2,0
none,9,0
none,4,0
none,9,0
none,7,0
cor,3,0.534
none,7,0
cor,3,0.717
none,4,0
none,8,0
none,9,0
cor,3,0.617
none,2,0
none,7,0
none,8,0
none,5,0
none,9,0
none,7,0
none,6,0
none,9,0
none,5,0
cor,3,0.7
none,1,0
none,7,0
cor,3,0.734
none,6,0
cor,3,0.767
none,6,0
cor,3,0.6
none,1,0
none,4,0
cor,3,0.682
none,8,0
none,1,0
none,9,0
none,6,0
cor,3,0.617
none,6,0
none,1,0
none,7,0
cor,3,0.634
none,8,0
none,2,0
cor,3,0.633
none,7,0
none,2,0
none,7,0
none,8,0
cor,3,0.7
none,8,0
none,1,0
none,8,0
cor,3,0.734
none,1,0
none,8,0
cor,3,0.567
none,6,0
cor,3,0.766
none,9,0
none,8,0
none,7,0
none,4,0
none,2,0
cor,3,0.618
none,7,0
none,5,0
none,7,0
none,7,0
cor,3,0.634
none,2,0
omi,3,0
delay,6,0.2
cor,3,0.918
none,2,0
none,9,0
none,2,0
none,8,0
none,9,0
cor,3,0.666
none,7,0
cor,3,0.767
none,9,0
none,7,0
none,4,0
none,9,0
cor,3,0.517
none,6,0
none,2,0
none,1,0
none,9,0
none,9,0
none,7,0
cor,3,0.884
none,2,0
cor,3,0.884
none,8,0
none,8,0
